Seller_Email,Listing_ID,Category,Auction_Title,Product_Name,Product_Description,Quantity,Reserve_Price,Max_bids,Status
ttremollet2t@lsu.edu,221,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,3,360.0,5,1
wlaurancegt@lsu.edu,225,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,1,120.0,5,1
nrideoutmi@lsu.edu,270,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,2,240.0,3,0
pstartehp@lsu.edu,271,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,2,240.0,3,1
dbrigstocko2@lsu.edu,353,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,5,600.0,6,1
tappleton2n@delicious.com,392,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,6,0
mcrumlyfk@lsu.edu,395,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,5,600.0,6,1
nrideoutmi@lsu.edu,1605,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,2,240.0,3,1
wlaurancegt@lsu.edu,1621,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,1,120.0,3,1
amarkosn0@lsu.edu,1717,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,3,1
tappleton2n@delicious.com,1729,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,3,1
dbarrowcloughlz@lsu.edu,1737,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,3,1
pslidders4f@lsu.edu,1773,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,1,120.0,3,2
ttremollet2t@lsu.edu,1813,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,3,360.0,2,1
dbrigstocko2@lsu.edu,1921,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,2,240.0,3,1
mcrumlyfk@lsu.edu,1929,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,5,600.0,3,1
jwooderson5q@lsu.edu,2053,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,5,600.0,3,1
pstartehp@lsu.edu,2189,Bodysuits,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,2,240.0,3,1
mbernasekrm@lsu.edu,5,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
akelby20@drupal.org,38,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
dparlettkw@lsu.edu,39,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,3,1
srubinivitzlu@lsu.edu,51,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
lbyrdgk@lsu.edu,79,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,4,1
cgabeyeb@lsu.edu,156,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,4,1
cdiffley5w@lsu.edu,167,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,4,1
cosgar8u@lsu.edu,185,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,5,1
mromayniq@lsu.edu,200,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,5,1
gmackall4z@lsu.edu,236,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,5,1
qricardoufm@lsu.edu,242,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,5,1
jjewettjh@lsu.edu,246,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,5,1
ehaspineallfb@lsu.edu,269,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
naspcu@lsu.edu,282,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
ogajownikly@lsu.edu,284,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
nrideoutmi@lsu.edu,315,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
rburtwistler8@lsu.edu,326,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
abartoszek16@reuters.com,352,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
ccolteneh@lsu.edu,369,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,6,1
cpaulone4@lsu.edu,981,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,5,1
cmabbsdt@lsu.edu,1002,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,5,1
ogajownikly@lsu.edu,1026,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,5,1
mromayniq@lsu.edu,1137,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,4,1
abartoszek16@reuters.com,1173,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,4,2
eparmanpy@lsu.edu,1266,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
predittjv@lsu.edu,1383,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
rpointn@globo.com,1389,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
nrideoutmi@lsu.edu,1601,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
cosgar8u@lsu.edu,1693,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
akelby20@drupal.org,1753,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
lbyrdgk@lsu.edu,1757,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
srubinivitzlu@lsu.edu,1817,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,2,1
ehaspineallfb@lsu.edu,1865,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,3,1
rburtwistler8@lsu.edu,1989,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
cgabeyeb@lsu.edu,2009,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
qricardoufm@lsu.edu,2021,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,3,1
ogajownikly@lsu.edu,2025,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
dparlettkw@lsu.edu,2041,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,5,75.0,3,1
gmackall4z@lsu.edu,2073,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
ccolteneh@lsu.edu,2097,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,0
mromayniq@lsu.edu,2173,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
jjewettjh@lsu.edu,2209,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,1,15.0,3,1
abartoszek16@reuters.com,2221,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,4,60.0,3,1
cdiffley5w@lsu.edu,2245,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
naspcu@lsu.edu,2253,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,3,45.0,3,1
mbernasekrm@lsu.edu,2409,Brushes & Applicators,Liquid Touch Concealer Brush,Rare Beauty Liquid Touch Brush,Makeup Brush,2,30.0,3,1
wlaurancegt@lsu.edu,723,Cat Dry Food,Meow Mix Original Choice Dry Cat Food,MM OC Dry Cat Food,Healthy and Yummy,4,200.0,6,1
wlaurancegt@lsu.edu,2481,Cat Dry Food,Meow Mix Original Choice Dry Cat Food,MM OC Dry Cat Food,Healthy and Yummy,4,200.0,3,1
bstrangeri3@lsu.edu,4,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,3,1
tgettonei8@lsu.edu,9,Cell Phones,Samsung Galaxy,S22,Powerful Android,1,850.0,3,1
nheckjx@lsu.edu,46,Cell Phones,Samsung Galaxy,S22,Powerful Android,1,850.0,3,1
atorrejon3c@lsu.edu,52,Cell Phones,Samsung Galaxy,S22,Powerful Android,3,2550.0,3,1
cdutnallr1@lsu.edu,53,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,3,1
adebellis2@mit.edu,59,Cell Phones,Samsung Galaxy,S22,Powerful Android,1,850.0,3,1
gmackall4z@lsu.edu,83,Cell Phones,Samsung Galaxy,S22,Powerful Android,5,4250.0,4,1
gcordall73@lsu.edu,89,Cell Phones,Samsung Galaxy,S22,Powerful Android,3,2550.0,4,1
whasnney2b@biblegateway.com,111,Cell Phones,iPhone,13 Pro Max,New iPhone Model,3,3300.0,4,1
wlaurancegt@lsu.edu,124,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,4,1
zcowl7l@lsu.edu,174,Cell Phones,Samsung Galaxy,S22,Powerful Android,2,1700.0,5,1
ituppm2@lsu.edu,175,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,5,1
jtestro45@lsu.edu,183,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,5,1
avenablesi@salon.com,187,Cell Phones,Samsung Galaxy,S22,Powerful Android,2,1700.0,5,1
hjehaes86@lsu.edu,209,Cell Phones,iPhone,13 Pro Max,New iPhone Model,3,3300.0,5,1
oflahiveif@lsu.edu,245,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,5,0
rbuchankl@lsu.edu,249,Cell Phones,iPhone,13 Pro Max,New iPhone Model,2,2200.0,5,1
mromayniq@lsu.edu,261,Cell Phones,iPhone,13 Pro Max,New iPhone Model,3,3300.0,3,1
cceaser3h@lsu.edu,276,Cell Phones,iPhone,13 Pro Max,New iPhone Model,2,2200.0,3,1
gdowtry4j@lsu.edu,292,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,3,1
glibbie7q@lsu.edu,297,Cell Phones,Samsung Galaxy,S22,Powerful Android,4,3400.0,3,1
jkruszelnickik3@lsu.edu,312,Cell Phones,Samsung Galaxy,S22,Powerful Android,4,3400.0,3,1
tkorting48@lsu.edu,323,Cell Phones,Samsung Galaxy,S22,Powerful Android,5,4250.0,3,1
bdenevehs@lsu.edu,381,Cell Phones,Samsung Galaxy,S22,Powerful Android,4,3400.0,6,1
lstuddeard7r@lsu.edu,384,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,6,1
jcarvil9@economist.com,396,Cell Phones,Samsung Galaxy,S22,Powerful Android,1,850.0,6,1
wlaurancegt@lsu.edu,1617,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,3,1
gdowtry4j@lsu.edu,1661,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,3,1
bstrangeri3@lsu.edu,1709,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,3,1
gcordall73@lsu.edu,1733,Cell Phones,Samsung Galaxy,S23,Powerful Android,3,2550.0,3,1
nheckjx@lsu.edu,1741,Cell Phones,Samsung Galaxy,S23,Powerful Android,1,850.0,3,1
zcowl7l@lsu.edu,1765,Cell Phones,Samsung Galaxy,S23,Powerful Android,2,1700.0,3,1
avenablesi@salon.com,1781,Cell Phones,Samsung Galaxy,S23,Powerful Android,2,1700.0,2,1
atorrejon3c@lsu.edu,1793,Cell Phones,Samsung Galaxy,S23,Powerful Android,1,850.0,2,1
tkorting48@lsu.edu,1845,Cell Phones,Samsung Galaxy,S23,Powerful Android,5,4250.0,3,1
glibbie7q@lsu.edu,1889,Cell Phones,Samsung Galaxy,S23,Powerful Android,4,3400.0,3,1
jcarvil9@economist.com,1937,Cell Phones,Samsung Galaxy,S23,Powerful Android,1,850.0,3,1
lstuddeard7r@lsu.edu,1985,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,3,1
gmackall4z@lsu.edu,2069,Cell Phones,Samsung Galaxy,S23,Powerful Android,5,4250.0,3,1
ituppm2@lsu.edu,2125,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,3,1
whasnney2b@biblegateway.com,2161,Cell Phones,iPhone,13 Pro Max,New iPhone Model,3,3300.0,3,1
mromayniq@lsu.edu,2169,Cell Phones,iPhone,13 Pro Max,New iPhone Model,3,3300.0,3,1
adebellis2@mit.edu,2233,Cell Phones,Samsung Galaxy,S23,Powerful Android,1,850.0,3,1
rbuchankl@lsu.edu,2237,Cell Phones,iPhone,13 Pro Max,New iPhone Model,2,2200.0,3,1
hjehaes86@lsu.edu,2277,Cell Phones,iPhone,13 Pro Max,New iPhone Model,3,3300.0,3,1
jkruszelnickik3@lsu.edu,2281,Cell Phones,Samsung Galaxy,S23,Powerful Android,4,3400.0,3,1
oflahiveif@lsu.edu,2289,Cell Phones,iPhone,13 Pro Max,New iPhone Model,5,5500.0,3,1
cdutnallr1@lsu.edu,2305,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,3,1
bdenevehs@lsu.edu,2353,Cell Phones,Samsung Galaxy,S22,Powerful Android,4,3400.0,3,1
cceaser3h@lsu.edu,2361,Cell Phones,iPhone,13 Pro Max,New iPhone Model,2,2200.0,3,1
tgettonei8@lsu.edu,2381,Cell Phones,Samsung Galaxy,S23,Powerful Android,1,850.0,3,1
jtestro45@lsu.edu,2433,Cell Phones,iPhone,13 Pro Max,New iPhone Model,1,1100.0,3,1
feeles4r@lsu.edu,10,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,1,90.0,3,1
tlinebargerh@flickr.com,15,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,1,120.0,3,1
bbartkowiak6t@lsu.edu,33,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,3,1
wlaurancegt@lsu.edu,91,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,4,1
lsekulla8w@lsu.edu,95,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,1,90.0,4,1
ghalvorsen95@lsu.edu,106,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,3,270.0,4,1
pboundey37@lsu.edu,115,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,4,1
dgurge15@jimdo.com,126,Clothing,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,1,110.0,4,1
rscampm5@lsu.edu,157,Clothing,Oversized T-shirt,Skeleton Hand Print Oversized tee,Attractive tee,4,440.0,4,1
gpendry79@lsu.edu,169,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,4,1
gescalanteg4@lsu.edu,186,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,3,360.0,5,1
selliker1v@ibm.com,188,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,5,0
jboultwoodre@lsu.edu,198,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,5,0
pkirklandrq@lsu.edu,214,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,5,1
predittjv@lsu.edu,251,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,1,90.0,5,1
kperle7k@lsu.edu,256,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,5,1
vrissonh@lsu.edu,259,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,4,360.0,3,1
jgarrood8v@lsu.edu,265,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,4,360.0,3,1
ihannondki@lsu.edu,288,Clothing,Ribbed Turtleneck Bodysuit,Wilde Black Ribbed Long Sleeve Mock Neck Bodysuit,Turtleneck tee,4,480.0,3,1
ebullardig@lsu.edu,291,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,3,270.0,3,1
bspottiswoodhm@lsu.edu,300,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,3,1
bmalbonee@lsu.edu,339,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,5,450.0,3,1
rkorneichikbg@lsu.edu,340,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,4,360.0,3,1
cpaulone4@lsu.edu,343,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,4,360.0,3,1
wspadelli8j@lsu.edu,355,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,4,360.0,6,1
gmosconegr@lsu.edu,358,Clothing,short skirts,Selby Mini Skirt,short skirts - Classic,4,360.0,6,1
