email,bank_routing_number,bank_account_number,balance
ihannondki@lsu.edu,0011-4959-0,41832799,905084
avirr66@lsu.edu,0011-4959-0,81456186,967558
dgoodenoughgs@lsu.edu,0011-4959-0,24252963,811594
rscampm5@lsu.edu,0011-4959-0,22647286,785121
kkiesselhe@lsu.edu,0011-4959-0,42382655,10949
tkorting48@lsu.edu,0011-4959-0,47702202,107361
mbuesdennk@lsu.edu,0011-4959-0,33733372,203627
rcayton5r@lsu.edu,0011-4959-0,48019151,524396
selliker1v@ibm.com,0011-4959-0,84707706,388094
rstanwixm3@lsu.edu,0011-4959-0,97649063,714491
ehaspineallfb@lsu.edu,0011-4959-0,43929474,487003
onewlindl@lsu.edu,0011-4959-0,85827656,538991
gdeblaseer@lsu.edu,0011-4959-0,31282435,117037
vcawr7@lsu.edu,0011-4959-0,93226877,436657
glibbie7q@lsu.edu,0011-4959-0,87666532,920803
emillhill6q@lsu.edu,0011-4959-0,42269937,23276
iciobotarujm@lsu.edu,0011-4959-0,47564782,212022
mfairhamf0@lsu.edu,0011-4959-0,40798945,216420
gnorecb@lsu.edu,0011-4959-0,33948942,465075
rgoulbornegn@lsu.edu,0011-4959-0,25870036,584147
bspencleyka@lsu.edu,0011-4959-0,57005233,954144
hleroy7s@lsu.edu,0011-4959-0,71739202,933314
dbrigstocko2@lsu.edu,0011-4959-0,74180849,793834
nlarhamap@lsu.edu,0011-4959-0,30562614,296895
mcrumlyfk@lsu.edu,0011-4959-0,92625854,614763
jcarvil9@economist.com,0011-4959-0,37342905,399756
jboultwoodre@lsu.edu,0011-4959-0,10699368,167943
jcory4w@lsu.edu,0011-4959-0,19535553,461180
pkirklandrq@lsu.edu,0011-4959-0,25249472,550148
rkorneichikbg@lsu.edu,0011-4959-0,58703085,895556
aforsythay@lsu.edu,0011-4959-0,77470014,304873
kperle7k@lsu.edu,0011-4959-0,38424261,203044
cpaulone4@lsu.edu,0011-4959-0,51317643,784982
solooneybx@lsu.edu,0011-4959-0,28901371,446075
tdairtonp8@lsu.edu,0011-4959-0,35358735,769447
feeles4r@lsu.edu,0011-4959-0,74422220,273792
bmaclaverty2v@lsu.edu,0011-4959-0,57019906,991910
lstuddeard7r@lsu.edu,0011-4959-0,66076629,84652
rburtwistler8@lsu.edu,0011-4959-0,23193347,337257
cmabbsdt@lsu.edu,0011-4959-0,17565072,600262
fdeans6l@lsu.edu,0011-4959-0,19227503,590815
bmalbonee@lsu.edu,0011-4959-0,64138851,154037
dbraffington7n@lsu.edu,0011-4959-0,95444292,113123
cgabeyeb@lsu.edu,0011-4959-0,25150607,835367
dlawteye2@lsu.edu,0011-4959-0,52547650,746375
mickowics63@lsu.edu,0011-4959-0,91921519,795332
qricardoufm@lsu.edu,0011-4959-0,57590924,685629
ogajownikly@lsu.edu,0011-4959-0,93831077,448209
oreppaportr0@lsu.edu,0011-4959-0,33857217,12499
ccaldeiropf@lsu.edu,0710-4743-1,76583268,803549
kmusslewhitedp@lsu.edu,0710-4743-1,15765782,476799
dparlettkw@lsu.edu,0710-4743-1,18253254,675285
msprackling43@lsu.edu,0710-4743-1,47718895,10608
tandino92@lsu.edu,0710-4743-1,80044302,462831
jwooderson5q@lsu.edu,0710-4743-1,86432367,402555
jgarrood8v@lsu.edu,0710-4743-1,63791992,476162
fstodartdu@lsu.edu,0710-4743-1,42438300,880025
gescalanteg4@lsu.edu,0710-4743-1,92062158,731425
gmackall4z@lsu.edu,0710-4743-1,54053868,323993
fthunder1p@webs.com,0710-4743-1,16168687,320383
fjacquemypl@lsu.edu,0710-4743-1,92310940,403084
edionisiih1@lsu.edu,0710-4743-1,84623717,421423
lcootesj9@lsu.edu,0710-4743-1,48437708,796095
mashling8s@lsu.edu,0710-4743-1,56315337,637825
ccolteneh@lsu.edu,0710-4743-1,55843654,95370
bparkenl7@lsu.edu,0710-4743-1,15302122,331206
itompkinson28@pcworld.com,0710-4743-1,32341196,938707
lcuffehv@lsu.edu,0710-4743-1,31603320,778084
vrissonh@lsu.edu,0710-4743-1,76248123,974211
dabelson7x@lsu.edu,0710-4743-1,85847210,247277
jberntjd@lsu.edu,0710-4743-1,65367928,257170
ituppm2@lsu.edu,0710-4743-1,22466777,654566
vconquest69@lsu.edu,0710-4743-1,15776383,723527
ebullardig@lsu.edu,0710-4743-1,34142773,330885
dgurge15@jimdo.com,0710-4743-1,86769953,298027
belfordb@yahoo.co.jp,0710-4743-1,60279015,794987
eorrick96@lsu.edu,0710-4743-1,64458467,602004
psarfat78@lsu.edu,0710-4743-1,71212838,797137
rwomack49@lsu.edu,0710-4743-1,41803696,41356
eovenden5y@lsu.edu,0710-4743-1,78241855,74217
whasnney2b@biblegateway.com,0710-4743-1,53617341,518786
mromayniq@lsu.edu,0710-4743-1,32674737,10001
fcapronqr@lsu.edu,0710-4743-1,57169785,316798
lmcmanusmc@lsu.edu,0710-4743-1,22272231,436863
lthornberbk@lsu.edu,0710-4743-1,79553917,450835
pstartehp@lsu.edu,0710-4743-1,43278664,410321
gechalieh4@lsu.edu,0710-4743-1,68118046,971057
eswanbourneq0@lsu.edu,0710-4743-1,95732862,932087
shaydones@lsu.edu,0710-4743-1,24069996,775441
lcicchinellib5@lsu.edu,0710-4743-1,31392793,256640
jjewettjh@lsu.edu,0710-4743-1,23473193,678592
rvanderhoeven9h@lsu.edu,0710-4743-1,25968916,588849
tizzatt4e@lsu.edu,0710-4743-1,16360340,467261
abartoszek16@reuters.com,0710-4743-1,34891252,950947
ctelezhking7@lsu.edu,0710-4743-1,49660436,370968
elyfecx@lsu.edu,0710-4743-1,56021997,257109
adebellis2@mit.edu,0710-4743-1,39881599,771733
rbuchankl@lsu.edu,0710-4743-1,11622189,15758
abithellon@lsu.edu,0710-4743-1,69855786,430385
cdiffley5w@lsu.edu,0710-4743-1,28372860,135722
nscougallba@lsu.edu,0710-4743-1,14540696,719864
naspcu@lsu.edu,0710-4743-1,33091975,228626
dairthno@lsu.edu,0710-4743-1,13634903,597313
jthwaite4l@lsu.edu,0710-4743-1,30918205,374710
ebromagei6@lsu.edu,0710-4743-1,70669910,789275
mtuxell5t@lsu.edu,0710-4743-1,45321186,783092
cjedrzejewskypo@lsu.edu,0710-4743-1,32212952,411893
hjehaes86@lsu.edu,0710-4743-1,69781335,911725
jkruszelnickik3@lsu.edu,0710-4743-1,89399789,297024
oflahiveif@lsu.edu,0710-4743-1,47841558,981483
kbennike0@merriam-webster.com,0710-4743-1,16197576,337218
ikneesha3v@lsu.edu,0710-4743-1,10183054,414065
cdutnallr1@lsu.edu,0710-4743-1,44290192,475806
hcapellee6@lsu.edu,0710-4743-1,56377370,403121
hreavellhk@lsu.edu,0710-4743-1,38247261,73673
gdignall3j@lsu.edu,0710-4743-1,79233507,84784
cpennettalf@lsu.edu,0710-4743-1,29321565,145615
ahaskerjg@lsu.edu,0710-4743-1,11592080,801212
cdullardbp@lsu.edu,0710-4743-1,27881669,721030
cfridpm@lsu.edu,0710-4743-1,85008511,143045
mamymo@lsu.edu,0710-4743-1,66789341,303035
pboundey37@lsu.edu,0710-4743-1,95987580,698476
eparmanpy@lsu.edu,0710-4743-1,26292267,975128
pclampettfg@lsu.edu,0710-4743-1,33246428,867048
bdenevehs@lsu.edu,0710-4743-1,15191620,191733
mbuddenqw@lsu.edu,0710-4743-1,65343173,440735
cceaser3h@lsu.edu,0710-4743-1,29217797,227808
strenamanhu@lsu.edu,0710-4743-1,10907469,249357
pbortolazziol@lsu.edu,0710-4743-1,41623212,608048
zcornillibb@lsu.edu,0710-4743-1,97352054,122892
gearngycp@lsu.edu,0710-4743-1,35843754,127259
tgettonei8@lsu.edu,0710-4743-1,13510285,752983
gpendry79@lsu.edu,0710-4743-1,81217629,464034
kwilcockesfx@lsu.edu,0710-4743-1,31704317,869876
slittledike1a@dyndns.org,0710-4743-1,26137124,80227
tpollock7j@lsu.edu,0710-4743-1,25182857,60218
rdellenbroker6c@lsu.edu,0710-4743-1,37259121,374858
mbernasekrm@lsu.edu,0710-4743-1,38725066,955787
hbintonme@lsu.edu,0710-4743-1,65757803,724890
acazindy@lsu.edu,0710-4743-1,72200777,292040
tlinebargerh@flickr.com,0710-4743-1,77029447,740325
jtestro45@lsu.edu,0710-4743-1,75752829,43850
ltortispi@lsu.edu,0710-4743-1,59705901,509659
wfranzenct@lsu.edu,0710-4743-1,56920170,974394
ecortingq@lsu.edu,0710-4743-1,72175247,660504
msigward5v@lsu.edu,0710-4743-1,78674497,870517
ltayspellhb@lsu.edu,0710-4743-1,61192935,311865
fleere4c@lsu.edu,0710-4743-1,77929168,926378
ubotfield11@state.gov,0710-4743-1,34026688,848763
dlepick3b@lsu.edu,1200-6837-0,33896204,54852
rwoofindeno1@lsu.edu,1200-6837-0,89527521,267754
ncoggerp5@lsu.edu,1200-6837-0,96116116,526554
deliassenqz@lsu.edu,1200-6837-0,42953230,194376
sgounel2h@amazon.co.jp,1200-6837-0,78495971,802628
lbaillie1d@mayoclinic.com,1200-6837-0,20498517,491759
myacob50@lsu.edu,1200-6837-0,65079464,811215
rofallon3u@lsu.edu,1200-6837-0,74609108,875200
gwerendellez@lsu.edu,1200-6837-0,90503616,381422
swonterql@lsu.edu,1200-6837-0,15939121,836964
schivrall6x@lsu.edu,1200-6837-0,59898843,555162
bthirtle65@lsu.edu,1200-6837-0,91522838,924453
kbramhallhd@lsu.edu,1200-6837-0,55697943,148527
hcostonrb@lsu.edu,1200-6837-0,86507752,333477
jwhisbyqk@lsu.edu,1200-6837-0,33060408,747459
gpitfieldpg@lsu.edu,1200-6837-0,91433925,561070
nwillishire6s@lsu.edu,1200-6837-0,56537647,943030
wucceli3y@lsu.edu,1200-6837-0,14271079,135344
smaricin@lsu.edu,1200-6837-0,92942658,739744
cwoolacottlv@lsu.edu,1200-6837-0,20593207,981481
irozzell5z@lsu.edu,1200-6837-0,33017067,936850
bfeatherstonegu@lsu.edu,1200-6837-0,24679617,584003
hivakhin9i@lsu.edu,1200-6837-0,10535381,187958
jmacclay9n@lsu.edu,1200-6837-0,81361253,870725
jfowle13@amazonaws.com,1200-6837-0,22306571,329474
kwinsorqe@lsu.edu,1200-6837-0,73832028,697626
abastoneoc@lsu.edu,1200-6837-0,46583252,789362
asheldrakeok@lsu.edu,1200-6837-0,55086333,917785
bpetrowskye9@lsu.edu,1200-6837-0,43141604,189834
lmacalorenc7@lsu.edu,1200-6837-0,87780123,804575
cdunstony@storify.com,1200-6837-0,43589594,944462
sjancaj@wikimedia.org,1200-6837-0,15342058,48684
bloughney1m@storify.com,1200-6837-0,35803858,868328
bjerratschpd@lsu.edu,1200-6837-0,12558110,417552
rmacfadzeanp0@lsu.edu,1200-6837-0,16270918,137789
pjenner6e@lsu.edu,1200-6837-0,96278926,54413
kjurczak1z@liveinternet.ru,1200-6837-0,46268663,180126
mfantonerp@lsu.edu,1200-6837-0,76967760,335819
ccaulket7u@lsu.edu,1200-6837-0,49248945,806302
jlush8q@lsu.edu,1200-6837-0,65640613,406133
sjeana8@lsu.edu,1200-6837-0,74372811,677090
cnesfieldnj@lsu.edu,1200-6837-0,19698306,196701
gmussilliev@lsu.edu,1200-6837-0,53996857,147248
gbealar@lsu.edu,1200-6837-0,24035477,739159
bcolliberq@alexa.com,1200-6837-0,24327977,209609
ctyttertonad@lsu.edu,1200-6837-0,68248031,337286
oleishman5g@lsu.edu,1200-6837-0,93163324,938833
sbelshamoa@lsu.edu,1200-6837-0,23482641,342591
cstritton5h@lsu.edu,1200-6837-0,15669946,405653
mlortzingew@lsu.edu,1200-6837-0,55483799,229408
ladlingtonal@lsu.edu,1200-6837-0,27391391,30801
mmessinghammw@lsu.edu,1200-6837-0,25334167,409045
mbentingn7@lsu.edu,1200-6837-0,70925644,948013
gmenegorl@lsu.edu,1200-6837-0,24728394,867201
itousy89@lsu.edu,1200-6837-0,48110589,697852
msporlew@unicef.org,1200-6837-0,11713118,666717
drussellao@lsu.edu,1200-6837-0,93612342,524184
rnassyl4@lsu.edu,1200-6837-0,33921294,295769
mshopcott6a@lsu.edu,1200-6837-0,46209060,216986
mderricoatfq@lsu.edu,1200-6837-0,51431228,435503
nbarrar2g@technorati.com,1200-6837-0,43324925,56424
jharse2o@tripod.com,1200-6837-0,23089215,675362
sboostmd@lsu.edu,1200-6837-0,14327160,526955
jscarfeou@lsu.edu,1200-6837-0,80643352,556257
glilliman64@lsu.edu,1200-6837-0,12748884,919617
mmacalasterdr@lsu.edu,1200-6837-0,73574104,270976
kdomanski9o@lsu.edu,1200-6837-0,97056246,272671
mbarrowsi7@lsu.edu,1200-6837-0,55656320,91069
gschultzeix@lsu.edu,1200-6837-0,24442037,865329
bcaplinnu@lsu.edu,1200-6837-0,61171354,946542
vfoynes2r@house.gov,1200-6837-0,33852114,409233
scribbin5a@lsu.edu,1200-6837-0,39419570,784183
avinkjk@lsu.edu,1200-6837-0,47348646,250454
ksaill6m@lsu.edu,1200-6837-0,45608556,9125
mlaxstondx@lsu.edu,1200-6837-0,67760800,142184
pranscome2j@newyorker.com,1200-6837-0,54056442,421557
sbarwello9@lsu.edu,1200-6837-0,36146845,580059
kmayb9@lsu.edu,1200-6837-0,28765350,41872
rglanvillenm@lsu.edu,1200-6837-0,55313459,292321
gwayeei@lsu.edu,1200-6837-0,62595474,513444
bmcquilty9s@lsu.edu,1200-6837-0,86145628,540339
rmalesm1@lsu.edu,1200-6837-0,46358683,178495
jbraidr@tumblr.com,1200-6837-0,26848921,933573
nturonepc@lsu.edu,1200-6837-0,43422332,712904
mjeffersqs@lsu.edu,1200-6837-0,21088771,513020
jketchn4@lsu.edu,1200-6837-0,84686914,943337
abattrick5k@lsu.edu,1200-6837-0,11841338,145358
dklebesbs@lsu.edu,1200-6837-0,31060329,936769
rlennardeen@lsu.edu,1200-6837-0,63943864,242763
gpaniman1w@yellowpages.com,1200-6837-0,51255860,467567
bwaterdrinker1l@state.tx.us,1200-6837-0,29517280,654080
sfussen8z@lsu.edu,1200-6837-0,63550023,935716
abeedomo8@lsu.edu,1200-6837-0,85503617,465892
lmckeeow@lsu.edu,1200-6837-0,62587855,311692
cdingivan99@lsu.edu,1200-6837-0,33675403,509441
jbullardh6@lsu.edu,1200-6837-0,19604544,502924
mmckelloch7a@lsu.edu,1200-6837-0,80863508,66329
rnelissen2c@techcrunch.com,1200-6837-0,78584731,394711
wdevorill6b@lsu.edu,1200-6837-0,51473073,471571
adegoeyr4@lsu.edu,1200-6837-0,79698222,844178
jgrelakcj@lsu.edu,1787-2826-5,87728457,386960
crizzillo6g@lsu.edu,1787-2826-5,89308118,527503
wgimenoo5@lsu.edu,1787-2826-5,34176463,377479
vclewarthf1@lsu.edu,1787-2826-5,70058424,409508
pgorbellpj@lsu.edu,1787-2826-5,82774147,324209
apfeiferi1@lsu.edu,1787-2826-5,28852548,559998
drubyq3@lsu.edu,1787-2826-5,49652047,321891
kricciardiellobf@lsu.edu,1787-2826-5,79999422,696535
wtopleya4@lsu.edu,1787-2826-5,61165660,16110
dnorcockl8@lsu.edu,1787-2826-5,21512620,274801
mlightollerk1@lsu.edu,1787-2826-5,79002073,605797
syarrowi5@lsu.edu,1787-2826-5,21449596,592444
bduggetms@lsu.edu,1787-2826-5,78877885,146729
dpeyntueqp@lsu.edu,1787-2826-5,16804922,510904
dcardonc1@lsu.edu,1787-2826-5,75770993,300735
wkermit8b@lsu.edu,1787-2826-5,91138100,683919
vchallin8@issuu.com,1787-2826-5,49784507,740175
scamellibm@lsu.edu,1787-2826-5,69139512,745389
shestroprg@lsu.edu,1787-2826-5,79118257,827134
dclearie54@lsu.edu,1787-2826-5,60356653,684974
omcevilly12@xing.com,1787-2826-5,68852932,429678
dthompsett24@domainmarket.com,1787-2826-5,39442738,589357
tmintoffpx@lsu.edu,1787-2826-5,80127648,535522
mesmonde9r@lsu.edu,1787-2826-5,47313294,372726
sasserg9@lsu.edu,1787-2826-5,20837193,469200
gnorley6r@lsu.edu,1787-2826-5,45181023,313225
nborlesshh@lsu.edu,1787-2826-5,10423306,104663
srowling81@lsu.edu,1787-2826-5,36931219,822361
cbagwellax@lsu.edu,1787-2826-5,89367520,536763
bstaubyndf@lsu.edu,1787-2826-5,38890071,989204
pmcchruiterlg@lsu.edu,1787-2826-5,79558280,477860
mtrathanhw@lsu.edu,1787-2826-5,54707442,212739
ohardsonn3@lsu.edu,1787-2826-5,75992380,294932
cgamlinpv@lsu.edu,1787-2826-5,30410171,133608
bhubbucke3k@lsu.edu,1787-2826-5,10854133,118165
rgrigoryevbu@lsu.edu,1787-2826-5,22967732,531886
lscrimshireae@lsu.edu,1787-2826-5,71738166,437708
wmcgarvaoh@lsu.edu,1787-2826-5,19955117,594338
elortzqt@lsu.edu,1787-2826-5,32448642,279658
ppellettt@linkedin.com,1787-2826-5,36687381,241179
rbathoejy@lsu.edu,1787-2826-5,49309659,258218
smcmennumh5@lsu.edu,1787-2826-5,44222383,301200
pscarisbrickmh@lsu.edu,1787-2826-5,73337061,125653
rdollenic@lsu.edu,1787-2826-5,97066077,621133
bluttypu@lsu.edu,1787-2826-5,70610594,396100
afoulghamit@lsu.edu,1787-2826-5,35463897,551637
greadettlb@lsu.edu,1787-2826-5,34547380,700697
fschellejf@lsu.edu,1787-2826-5,45311990,210521
imacgruerkc@lsu.edu,1787-2826-5,95112835,600069
ahamillqg@lsu.edu,1787-2826-5,29018760,298572
tmattekgo@lsu.edu,1787-2826-5,40097288,664299
habreyg5@lsu.edu,1787-2826-5,16965269,213347
mbellshamcd@lsu.edu,1787-2826-5,37047190,681375
kprantll6@lsu.edu,1787-2826-5,98545146,876629
gfotitto0@lsu.edu,1787-2826-5,89559481,564125
ghankey4v@lsu.edu,1787-2826-5,17244063,746498
gfulmenr9@lsu.edu,1787-2826-5,31692254,954137
qstewardq5@lsu.edu,1787-2826-5,18124181,128609
pmathouseda@lsu.edu,1787-2826-5,73440411,647225
emcteaguedk@lsu.edu,1787-2826-5,41829718,483846
ecritchellop@lsu.edu,1787-2826-5,54333694,394438
ebarukhjo@lsu.edu,1787-2826-5,82257197,734210
ogirardezjp@lsu.edu,1787-2826-5,96204582,882783
gallwarddm@lsu.edu,1787-2826-5,22516198,867663
fscowcroft3g@lsu.edu,1787-2826-5,12209568,645345
adallaway7c@lsu.edu,1787-2826-5,28447185,765196
agabbitasns@lsu.edu,1787-2826-5,81331945,63926
fwaylandj5@lsu.edu,1787-2826-5,32790164,372671
adaybornei9@lsu.edu,1787-2826-5,53026101,377326
gdiamentk6@lsu.edu,1787-2826-5,83622372,853754
lkissock9p@lsu.edu,1787-2826-5,37141173,547036
tbrowerca@lsu.edu,1787-2826-5,83108155,995953
mbamptongy@lsu.edu,1787-2826-5,67503090,55394
dantonionic0@lsu.edu,1787-2826-5,39884280,342978
etroy4x@lsu.edu,1787-2826-5,68027688,539576
sshark8p@lsu.edu,1787-2826-5,98203211,692626
crounsefell9w@lsu.edu,1787-2826-5,62584156,421217
ndeyeh2@lsu.edu,1787-2826-5,97850073,977591
cbebisnn@lsu.edu,1787-2826-5,57357860,672181
ayarddc@lsu.edu,1787-2826-5,97096509,501796
msomersetz@opera.com,1787-2826-5,22442370,566552
dnobeshj@lsu.edu,1787-2826-5,51274523,563233
eoleszczak9l@lsu.edu,1787-2826-5,68083160,944420
kruperted@lsu.edu,1787-2826-5,48394805,116489
tmorrottq9@lsu.edu,1787-2826-5,34728682,831570
jcaverhillld@lsu.edu,1787-2826-5,88713642,473753
adenisovoaz@lsu.edu,1787-2826-5,63733920,193076
npackfu@lsu.edu,1787-2826-5,64198165,258906
smcquorkellng@lsu.edu,1787-2826-5,89874174,468165
jcrippillea@lsu.edu,1787-2826-5,10139049,113758
swaiton2k@sourceforge.net,1787-2826-5,39080741,608852
lthackham2x@lsu.edu,1787-2826-5,32529803,685034
dburditt8t@lsu.edu,1787-2826-5,32258279,90514
chatzarpk@lsu.edu,1787-2826-5,64127276,596576
lmingardi5u@lsu.edu,1787-2826-5,39496995,190872
gdelahayea@hud.gov,1787-2826-5,27143799,583499
blucio41@lsu.edu,1787-2826-5,47001521,749248
cgiacomucciqf@lsu.edu,1787-2826-5,47875517,502636
jtukesbygp@lsu.edu,1787-2826-5,52872894,229076
drembrandtjt@lsu.edu,1787-2826-5,57853840,358150
tdolanli@lsu.edu,2301-7752-2,23687178,148885
gmcarte6f@lsu.edu,2301-7752-2,97921630,916120
hhehll3@lsu.edu,2301-7752-2,27187050,349447
mhextog@lsu.edu,2301-7752-2,26828268,762225
eshawlag@lsu.edu,2301-7752-2,48292326,496776
gbulwardqi@lsu.edu,2301-7752-2,83236257,279470
npickinfo@lsu.edu,2301-7752-2,66627613,218151
rlefriec62@lsu.edu,2301-7752-2,79575421,175542
gleddie3a@lsu.edu,2301-7752-2,48610311,586669
afidilis36@lsu.edu,2301-7752-2,17817077,716796
zmegroff57@lsu.edu,2301-7752-2,97021350,336587
astudholmer6@lsu.edu,2301-7752-2,10772817,972046
munderhill9e@lsu.edu,2301-7752-2,21703838,304995
gperrett7h@lsu.edu,2301-7752-2,32180473,779103
jjelkesco@lsu.edu,2301-7752-2,59336951,147452
gorrillx@apple.com,2301-7752-2,59799517,431242
keverett6n@lsu.edu,2301-7752-2,16924903,368320
balenove1@lsu.edu,2301-7752-2,82713143,645786
ljohannessonqm@lsu.edu,2301-7752-2,61268683,719784
ameganyhn@lsu.edu,2301-7752-2,95829652,49780
mlisleai@lsu.edu,2301-7752-2,26718042,277219
gambrosch35@lsu.edu,2301-7752-2,88735020,458075
fchiesek@360.cn,2301-7752-2,58809020,469313
eolyfatef@lsu.edu,2301-7752-2,44793730,268443
jaclandg1@lsu.edu,2301-7752-2,87128245,293842
mmalimhf@lsu.edu,2301-7752-2,55840461,505321
tchastagnierii@lsu.edu,2301-7752-2,80765737,216256
spenquetpq@lsu.edu,2301-7752-2,22614940,468747
kfaint5s@lsu.edu,2301-7752-2,16315696,823229
rkoenenh7@lsu.edu,2301-7752-2,43391207,293903
jstiegersfs@lsu.edu,2301-7752-2,37511372,390174
zstrodder8d@lsu.edu,2301-7752-2,63278040,257375
mdearlepalserri@lsu.edu,2301-7752-2,54697555,66838
cjaquiss58@lsu.edu,2301-7752-2,97059703,680256
kdableja@lsu.edu,2301-7752-2,57641143,248608
lbissill4o@lsu.edu,2301-7752-2,90606865,885867
rickeringillrj@lsu.edu,2301-7752-2,56622245,563807
gmustard83@lsu.edu,2301-7752-2,73679837,219688
bbackshq@lsu.edu,2301-7752-2,96245891,754322
aitzchakinf@lsu.edu,2301-7752-2,74946838,84493
pdesaurk7@lsu.edu,2301-7752-2,97864183,819610
sghidoniko@lsu.edu,2301-7752-2,53166239,219229
smatussevichh3@lsu.edu,2301-7752-2,89985474,571175
bscriven8m@lsu.edu,2301-7752-2,66986081,22653
ckenion7y@lsu.edu,2301-7752-2,59215562,760390
eodonohuenx@lsu.edu,2301-7752-2,29186960,159072
mlabrow6u@lsu.edu,2301-7752-2,11224730,443127
ldmitrievskira@lsu.edu,2301-7752-2,97669345,617044
jbaggfp@lsu.edu,2301-7752-2,67666953,564863
gtrundlek9@lsu.edu,2301-7752-2,33114893,98313
wbossom7t@lsu.edu,2301-7752-2,42383847,626007
mtuftgd@lsu.edu,2301-7752-2,50940472,910183
ldailyrh@lsu.edu,2301-7752-2,44694414,14651
agislebert84@lsu.edu,2301-7752-2,71978159,295965
abrodie9b@lsu.edu,2301-7752-2,12941313,137011
sblofieldke@lsu.edu,2301-7752-2,43154111,201805
jgiffonf@github.io,2301-7752-2,12371873,502937
pbelderfieldcc@lsu.edu,2301-7752-2,84148083,837791
bmathy7@discovery.com,2301-7752-2,36030215,155904
caskiek0@lsu.edu,2301-7752-2,29044533,973532
belsmor2l@epa.gov,2301-7752-2,53992063,421810
msmorfit80@lsu.edu,2301-7752-2,99161783,581266
gwaddingtonah@lsu.edu,2301-7752-2,26025625,644035
sslyfordpz@lsu.edu,2301-7752-2,97586082,609600
dhawtrymt@lsu.edu,2301-7752-2,54404592,926621
awardernz@lsu.edu,2301-7752-2,51990533,213923
rjirekot@lsu.edu,2301-7752-2,35629862,36796
jbulloughna@lsu.edu,2301-7752-2,61019144,220660
hgoolden4t@lsu.edu,2301-7752-2,76127459,48832
adawdry76@lsu.edu,2301-7752-2,83205420,669425
tcoulman60@lsu.edu,2301-7752-2,31590099,2227
mbidwellc3@lsu.edu,2301-7752-2,30237644,695180
ctolmienr@lsu.edu,2301-7752-2,14585541,351937
rlammertdd@lsu.edu,2301-7752-2,53030807,226393
gbalas91@lsu.edu,2301-7752-2,85129883,373705
cdavinet6d@lsu.edu,2301-7752-2,52258864,146122
szannini5x@lsu.edu,2301-7752-2,44831183,832158
jponting5d@lsu.edu,2301-7752-2,46615906,271233
