Bid_ID,Seller_Email,Listing_ID,Bidder_Email,Bid_Price
175,mbuesdennk@lsu.edu,253,vconquest69@lsu.edu,77
180,mbuesdennk@lsu.edu,253,wdevorill6b@lsu.edu,79
184,gmackall4z@lsu.edu,1062,gmcarte6f@lsu.edu,190
185,gmackall4z@lsu.edu,1062,clochet6i@lsu.edu,200
187,gmackall4z@lsu.edu,1062,gmcarte6f@lsu.edu,201
188,gmackall4z@lsu.edu,1062,keverett6n@lsu.edu,204
190,gmackall4z@lsu.edu,1062,emillhill6q@lsu.edu,210
193,tlinebargerh@flickr.com,1326,bollerhead6v@lsu.edu,390
194,tlinebargerh@flickr.com,1326,schivrall6x@lsu.edu,400
196,tlinebargerh@flickr.com,1326,bmaasze6z@lsu.edu,402
411,kfeeney30@lsu.edu,215,tbrightey72@lsu.edu,145
413,kfeeney30@lsu.edu,215,htaylor74@lsu.edu,150
425,kfeeney30@lsu.edu,215,adawdry76@lsu.edu,151
436,kfeeney30@lsu.edu,215,psarfat78@lsu.edu,153
437,kfeeney30@lsu.edu,215,adawdry76@lsu.edu,155
438,rdichee@adobe.com,1625,mcapron7d@lsu.edu,110
440,rdichee@adobe.com,1625,aalbers7g@lsu.edu,111
445,rdichee@adobe.com,1625,dbrinkworth7i@lsu.edu,113
447,bspencleyka@lsu.edu,1913,shollow7p@lsu.edu,170
450,bspencleyka@lsu.edu,1913,wbossom7t@lsu.edu,180
458,bspencleyka@lsu.edu,1913,vblackford7w@lsu.edu,185
460,eparmanpy@lsu.edu,2345,msmorfit80@lsu.edu,202
463,eparmanpy@lsu.edu,2345,wbrierly85@lsu.edu,214
469,eparmanpy@lsu.edu,2345,itousy89@lsu.edu,250
478,ahaskerjg@lsu.edu,1251,zstrodder8d@lsu.edu,765
490,ahaskerjg@lsu.edu,1251,spapez8g@lsu.edu,777
500,ahaskerjg@lsu.edu,1251,fgomer8i@lsu.edu,782
512,jberntjd@lsu.edu,72,echristofides8n@lsu.edu,40
516,jberntjd@lsu.edu,72,sshark8p@lsu.edu,43
520,jberntjd@lsu.edu,72,ncolenutt8r@lsu.edu,44
521,jberntjd@lsu.edu,72,cosgar8u@lsu.edu,45
530,jkasman1i@histats.com,1673,sfussen8z@lsu.edu,45
534,jkasman1i@histats.com,1673,gbalas91@lsu.edu,50
539,jkasman1i@histats.com,1673,bgrund94@lsu.edu,55
540,nheckjx@lsu.edu,813,hbowdon9a@lsu.edu,152
548,nheckjx@lsu.edu,813,cspradbery9c@lsu.edu,157
550,nheckjx@lsu.edu,813,cspradbery9c@lsu.edu,159
559,fdeans6l@lsu.edu,238,dnaughton9f@lsu.edu,73
562,fdeans6l@lsu.edu,238,ewithers9j@lsu.edu,75
564,fdeans6l@lsu.edu,238,eoleszczak9l@lsu.edu,77
568,fdeans6l@lsu.edu,238,ewithers9j@lsu.edu,79
572,fdeans6l@lsu.edu,238,eoleszczak9l@lsu.edu,82
574,zcornillibb@lsu.edu,84,bmcquilty9s@lsu.edu,152
588,zcornillibb@lsu.edu,84,peddicott9v@lsu.edu,160
590,zcornillibb@lsu.edu,84,tpearman9y@lsu.edu,174
599,zcornillibb@lsu.edu,84,iswyera0@lsu.edu,200
600,wlaurancegt@lsu.edu,717,wtopleya4@lsu.edu,22
603,wlaurancegt@lsu.edu,717,sjeana8@lsu.edu,25
613,wlaurancegt@lsu.edu,717,sskinleyaa@lsu.edu,28
615,wlaurancegt@lsu.edu,717,lscrimshireae@lsu.edu,30
624,wlaurancegt@lsu.edu,717,sskinleyaa@lsu.edu,34
628,wlaurancegt@lsu.edu,717,eshawlag@lsu.edu,35
631,tlinebargerh@flickr.com,1,rmacgilmartinat@lsu.edu,3432
640,tlinebargerh@flickr.com,1,bleadstonaw@lsu.edu,3445
643,tlinebargerh@flickr.com,1,rmacgilmartinat@lsu.edu,3450
650,bbartkowiak6t@lsu.edu,792,rkerneb0@lsu.edu,120
655,bbartkowiak6t@lsu.edu,792,nlawb2@lsu.edu,125
667,lmcmanusmc@lsu.edu,240,aepgraveau@lsu.edu,105
663,lmcmanusmc@lsu.edu,240,nlawb2@lsu.edu,108
669,lmcmanusmc@lsu.edu,240,fdalstonbd@lsu.edu,110
670,dcordeniw@lsu.edu,164,lhouldcroftb7@lsu.edu,500
673,dcordeniw@lsu.edu,164,kricciardiellobf@lsu.edu,525
680,rdichee@adobe.com,726,rgrigoryevbu@lsu.edu,600
682,rdichee@adobe.com,726,wtheusscf@lsu.edu,620
693,rdichee@adobe.com,726,cguisotck@lsu.edu,627
694,rdichee@adobe.com,726,rgrigoryevbu@lsu.edu,642
699,rdichee@adobe.com,726,cswitlandcn@lsu.edu,650
700,dcordeniw@lsu.edu,774,mcremincr@lsu.edu,35
703,wlaurancegt@lsu.edu,720,wdelongcw@lsu.edu,50
707,wlaurancegt@lsu.edu,720,dkildead0@lsu.edu,55
710,wlaurancegt@lsu.edu,720,eangelod3@lsu.edu,60
711,wfranzenct@lsu.edu,2441,arichardssonde@lsu.edu,225
714,wfranzenct@lsu.edu,2441,deddowdn@lsu.edu,240
716,wspadelli8j@lsu.edu,2513,fbehling6@lsu.edu,52
720,vcawr7@lsu.edu,915,dvolettb@lsu.edu,180
723,vcawr7@lsu.edu,915,ctowllf@lsu.edu,205
729,vcawr7@lsu.edu,915,mkiernani@lsu.edu,208
740,acazindy@lsu.edu,2,dmcguggyc@lsu.edu,42
749,acazindy@lsu.edu,2,ibossinghamh@lsu.edu,44
753,mtuxell5t@lsu.edu,229,nmiddisj@lsu.edu,43
758,mtuxell5t@lsu.edu,229,lticknerr@lsu.edu,49
760,mtuxell5t@lsu.edu,229,mgorgen14@lsu.edu,51
763,dbrinkworth7i@lsu.edu,1725,nmiddisj@lsu.edu,17
765,tandino92@lsu.edu,2049,tdomingues1a@lsu.edu,20
769,tandino92@lsu.edu,2049,lsturley1r@lsu.edu,24
773,cosgar8u@lsu.edu,2553,nfazackerley2a@lsu.edu,150
775,cosgar8u@lsu.edu,2553,tdomingues1a@lsu.edu,155
778,ttremollet2t@lsu.edu,221,gbenezet2b@lsu.edu,361
781,ttremollet2t@lsu.edu,221,delnaugh2c@lsu.edu,370
784,ttremollet2t@lsu.edu,221,lsturley1r@lsu.edu,382
786,mbernasekrm@lsu.edu,5,nmiddisj@lsu.edu,32
790,cdiffley5w@lsu.edu,167,cbernardot2e@lsu.edu,46
793,cdiffley5w@lsu.edu,167,lticknerr@lsu.edu,50
794,cmabbsdt@lsu.edu,1002,ebowcock2g@lsu.edu,62
796,cmabbsdt@lsu.edu,1002,amorrant2h@lsu.edu,65
800,cmabbsdt@lsu.edu,1002,ebowcock2g@lsu.edu,73
802,wlaurancegt@lsu.edu,723,srourke2n@lsu.edu,204
805,wlaurancegt@lsu.edu,723,dthorowgood2p@lsu.edu,215
813,wlaurancegt@lsu.edu,723,awhiskerd2s@lsu.edu,225
820,tgettonei8@lsu.edu,9,lticknerr@lsu.edu,855
828,gcordall73@lsu.edu,89,pbowsher2u@lsu.edu,2551
840,gcordall73@lsu.edu,89,amorrant2h@lsu.edu,2560
843,jtestro45@lsu.edu,183,jkittel3d@lsu.edu,1100
855,jtestro45@lsu.edu,183,ljoannic3f@lsu.edu,1103
859,jtestro45@lsu.edu,183,msalvatore3m@lsu.edu,1110
862,jcarvil9@economist.com,396,heastcott3o@lsu.edu,851
865,jcarvil9@economist.com,396,jkittel3d@lsu.edu,859
868,jcarvil9@economist.com,396,bhubbucke3k@lsu.edu,860
871,jcarvil9@economist.com,396,kbartolacci3s@lsu.edu,864
873,glibbie7q@lsu.edu,1889,cvasichev3q@lsu.edu,3405
875,feeles4r@lsu.edu,10,cvasichev3q@lsu.edu,95
877,bbartkowiak6t@lsu.edu,33,rofallon3u@lsu.edu,452
880,bbartkowiak6t@lsu.edu,33,vizaac3w@lsu.edu,458
882,selliker1v@ibm.com,188,rofallon3u@lsu.edu,454
884,selliker1v@ibm.com,188,sgeratasch3x@lsu.edu,462
885,selliker1v@ibm.com,188,ljoannic3f@lsu.edu,471
886,gcordall73@lsu.edu,807,wucceli3y@lsu.edu,124
887,gescalanteg4@lsu.edu,1056,tmanus40@lsu.edu,88
888,dnaughton9f@lsu.edu,1386,blucio41@lsu.edu,38
893,selliker1v@ibm.com,1857,rkorneev47@lsu.edu,276
896,gdowtry4j@lsu.edu,753,atythacott4a@lsu.edu,25
899,rgoulbornegn@lsu.edu,499,tizzatt4e@lsu.edu,145
900,rgoulbornegn@lsu.edu,499,msalvatore3m@lsu.edu,153
