Bidder_Email,Seller_Email,Date,Rating,Rating_Desc
tlinning29@lsu.edu,jcarvil9@economist.com,2/2/22,3,Not Bad
rbulluck24@lsu.edu,jcarvil9@economist.com,10/7/21,2,Not Bad
tthorogood2o@lsu.edu,mickowics63@lsu.edu,1/5/22,1,Bad
dthorowgood2p@lsu.edu,qricardoufm@lsu.edu,4/1/21,2,Not Bad
bsuddock2q@lsu.edu,ogajownikly@lsu.edu,7/17/21,1,Bad
rjosefovic2r@lsu.edu,oreppaportr0@lsu.edu,3/13/21,4,Awesome
awhiskerd2s@lsu.edu,ccaldeiropf@lsu.edu,5/4/21,2,Not Bad
ttremollet2t@lsu.edu,kmusslewhitedp@lsu.edu,10/20/21,2,Not Bad
pbowsher2u@lsu.edu,dparlettkw@lsu.edu,1/2/22,4,Awesome
bmaclaverty2v@lsu.edu,msprackling43@lsu.edu,5/13/21,1,Bad
amcpartlin2w@lsu.edu,tandino92@lsu.edu,5/3/21,1,Bad
lthackham2x@lsu.edu,jwooderson5q@lsu.edu,7/9/21,2,Not Bad
bbywaters2y@lsu.edu,jgarrood8v@lsu.edu,2/24/22,3,Not Bad
gdruce2z@lsu.edu,fstodartdu@lsu.edu,3/31/21,3,Not Bad
kfeeney30@lsu.edu,gescalanteg4@lsu.edu,5/31/21,2,Not Bad
ksnoddy38@lsu.edu,gmackall4z@lsu.edu,2/8/22,4,Awesome
ccellier31@lsu.edu,gmackall4z@lsu.edu,11/5/21,2,Not Bad
icabbell32@lsu.edu,fthunder1p@webs.com,11/9/21,3,Not Bad
dgrogona33@lsu.edu,fjacquemypl@lsu.edu,12/6/21,1,Bad
mstapele34@lsu.edu,edionisiih1@lsu.edu,10/3/21,1,Bad
gambrosch35@lsu.edu,lcootesj9@lsu.edu,11/11/21,2,Not Bad
afidilis36@lsu.edu,mashling8s@lsu.edu,7/15/21,5,Awesome
pboundey37@lsu.edu,ccolteneh@lsu.edu,9/15/21,3,Not Bad
ksnoddy38@lsu.edu,bparkenl7@lsu.edu,11/24/21,2,Not Bad
sbouzek39@lsu.edu,itompkinson28@pcworld.com,5/17/21,1,Bad
gleddie3a@lsu.edu,lcuffehv@lsu.edu,2/26/22,3,Not Bad
dlepick3b@lsu.edu,vrissonh@lsu.edu,3/25/21,3,Not Bad
atorrejon3c@lsu.edu,dabelson7x@lsu.edu,10/19/21,3,Not Bad
jkittel3d@lsu.edu,jberntjd@lsu.edu,11/11/21,1,Bad
tmanus40@lsu.edu,abartoszek16@reuters.com,12/13/21,2,Not Bad
blucio41@lsu.edu,ctelezhking7@lsu.edu,11/16/21,3,Not Bad
fmcall42@lsu.edu,elyfecx@lsu.edu,8/11/21,5,Awesome
msprackling43@lsu.edu,adebellis2@mit.edu,8/1/21,2,Not Bad
mgudeman44@lsu.edu,rbuchankl@lsu.edu,11/22/21,5,Awesome
jtestro45@lsu.edu,abithellon@lsu.edu,11/22/21,2,Not Bad
mreeves46@lsu.edu,cdiffley5w@lsu.edu,11/1/21,5,Awesome
rkorneev47@lsu.edu,nscougallba@lsu.edu,5/10/21,2,Not Bad
tkorting48@lsu.edu,naspcu@lsu.edu,3/16/21,2,Not Bad
rwomack49@lsu.edu,dairthno@lsu.edu,5/19/21,3,Not Bad
atythacott4a@lsu.edu,jthwaite4l@lsu.edu,7/15/21,3,Not Bad
tevangelinos4b@lsu.edu,ebromagei6@lsu.edu,11/22/21,3,Not Bad
fleere4c@lsu.edu,mtuxell5t@lsu.edu,7/11/21,3,Not Bad
kbouzek4d@lsu.edu,cjedrzejewskypo@lsu.edu,5/20/21,1,Bad
tizzatt4e@lsu.edu,hjehaes86@lsu.edu,11/28/21,1,Bad
pslidders4f@lsu.edu,jkruszelnickik3@lsu.edu,5/11/21,5,Awesome
pnetley4n@lsu.edu,oflahiveif@lsu.edu,2/26/22,1,Bad
anassau4p@lsu.edu,oflahiveif@lsu.edu,10/22/21,4,Awesome
agoly4g@lsu.edu,oflahiveif@lsu.edu,9/4/21,4,Awesome
cthumann4h@lsu.edu,kbennike0@merriam-webster.com,1/29/22,1,Bad
rmcwhin4i@lsu.edu,ikneesha3v@lsu.edu,8/24/21,1,Bad
gdowtry4j@lsu.edu,cdutnallr1@lsu.edu,1/11/22,4,Awesome
tinch4k@lsu.edu,hcapellee6@lsu.edu,1/4/22,2,Not Bad
jthwaite4l@lsu.edu,hreavellhk@lsu.edu,7/2/21,4,Awesome
rmessham4m@lsu.edu,gdignall3j@lsu.edu,4/29/21,2,Not Bad
pnetley4n@lsu.edu,cpennettalf@lsu.edu,7/6/21,1,Bad
lbissill4o@lsu.edu,ahaskerjg@lsu.edu,3/31/21,1,Bad
anassau4p@lsu.edu,cdullardbp@lsu.edu,5/30/21,3,Not Bad
toseland4q@lsu.edu,cfridpm@lsu.edu,9/10/21,3,Not Bad
feeles4r@lsu.edu,mamymo@lsu.edu,8/14/21,2,Not Bad
tbice4s@lsu.edu,pboundey37@lsu.edu,10/17/21,1,Bad
hgoolden4t@lsu.edu,eparmanpy@lsu.edu,3/5/21,2,Not Bad
myork4u@lsu.edu,pclampettfg@lsu.edu,12/15/21,4,Awesome
ghankey4v@lsu.edu,bdenevehs@lsu.edu,5/22/21,3,Not Bad
jcory4w@lsu.edu,mbuddenqw@lsu.edu,3/10/21,3,Not Bad
etroy4x@lsu.edu,cceaser3h@lsu.edu,3/12/21,3,Not Bad
lundrill4y@lsu.edu,strenamanhu@lsu.edu,12/25/21,4,Awesome
gmackall4z@lsu.edu,pbortolazziol@lsu.edu,9/4/21,1,Bad
myacob50@lsu.edu,zcornillibb@lsu.edu,3/1/22,1,Bad
ajeffs51@lsu.edu,gearngycp@lsu.edu,12/15/21,4,Awesome
olief52@lsu.edu,tgettonei8@lsu.edu,5/20/21,1,Bad
ddimeo53@lsu.edu,gpendry79@lsu.edu,6/8/21,5,Awesome
landrysek5f@lsu.edu,ecortingq@lsu.edu,12/24/21,4,Awesome
dclearie54@lsu.edu,ecortingq@lsu.edu,3/15/21,5,Awesome
mreeves46@lsu.edu,nrideoutmi@lsu.edu,11/12/21,5,Awesome
rkorneev47@lsu.edu,nrideoutmi@lsu.edu,2/1/22,5,Awesome
tkorting48@lsu.edu,ndutchburnel@lsu.edu,9/7/21,1,Bad
rwomack49@lsu.edu,wlaurancegt@lsu.edu,5/26/21,2,Not Bad
atythacott4a@lsu.edu,wlaurancegt@lsu.edu,1/17/22,1,Bad
tevangelinos4b@lsu.edu,wlaurancegt@lsu.edu,4/28/21,2,Not Bad
fleere4c@lsu.edu,rdichee@adobe.com,3/4/21,5,Awesome
kbouzek4d@lsu.edu,dmccritchiej3@lsu.edu,12/10/21,2,Not Bad
tizzatt4e@lsu.edu,ghalvorsen95@lsu.edu,7/8/21,2,Not Bad
pslidders4f@lsu.edu,ghalvorsen95@lsu.edu,6/25/21,2,Not Bad
pnetley4n@lsu.edu,predittjv@lsu.edu,3/21/21,2,Not Bad
anassau4p@lsu.edu,dnaughton9f@lsu.edu,2/16/22,2,Not Bad
ghankey4v@lsu.edu,bstrangeri3@lsu.edu,7/22/21,2,Not Bad
jcory4w@lsu.edu,bbartkowiak6t@lsu.edu,3/29/21,5,Awesome
etroy4x@lsu.edu,amarkosn0@lsu.edu,4/14/21,2,Not Bad
lundrill4y@lsu.edu,cmcpolindw@lsu.edu,1/17/22,5,Awesome
gmackall4z@lsu.edu,dbrinkworth7i@lsu.edu,3/27/21,5,Awesome
myacob50@lsu.edu,tappleton2n@delicious.com,11/22/21,5,Awesome
ajeffs51@lsu.edu,gcordall73@lsu.edu,9/2/21,1,Bad
olief52@lsu.edu,dbarrowcloughlz@lsu.edu,12/10/21,1,Bad
ddimeo53@lsu.edu,nheckjx@lsu.edu,9/4/21,2,Not Bad
mgeorgi5b@lsu.edu,bspottiswoodhm@lsu.edu,11/21/21,1,Bad
dclearie54@lsu.edu,gmosconegr@lsu.edu,8/4/21,3,Not Bad
mriddler55@lsu.edu,akelby20@drupal.org,7/10/21,1,Bad
cklyner56@lsu.edu,lbyrdgk@lsu.edu,5/5/21,3,Not Bad
zmegroff57@lsu.edu,mlempertz10@yandex.ru,3/29/21,2,Not Bad
cjaquiss58@lsu.edu,zcowl7l@lsu.edu,1/27/22,3,Not Bad
garmer59@lsu.edu,asimonsen7z@lsu.edu,9/20/21,4,Awesome
scribbin5a@lsu.edu,pslidders4f@lsu.edu,8/6/21,1,Bad
dclearie54@lsu.edu,awillderjq@lsu.edu,2/13/22,4,Awesome
ajeffs51@lsu.edu,avenablesi@salon.com,5/15/21,5,Awesome
mgeorgi5b@lsu.edu,cmcallof@lsu.edu,5/5/21,1,Not Bad
kgedney5c@lsu.edu,lsekulla8w@lsu.edu,4/5/21,5,Awesome
jponting5d@lsu.edu,atorrejon3c@lsu.edu,7/23/21,1,Not Bad
mriddler55@lsu.edu,hmccurts@vinaora.com,9/26/21,3,Bad
garmer59@lsu.edu,alillecrop1u@about.com,11/15/21,2,Not Bad
meddington5e@lsu.edu,ofumagalliqv@lsu.edu,5/24/21,2,Bad
landrysek5f@lsu.edu,wsemechikci@lsu.edu,6/16/21,1,Bad
dclearie54@lsu.edu,ttremollet2t@lsu.edu,1/14/22,3,Not Bad
mreeves46@lsu.edu,srubinivitzlu@lsu.edu,8/13/21,5,Awesome
rkorneev47@lsu.edu,ascohiergc@lsu.edu,9/1/21,4,Awesome
tkorting48@lsu.edu,ihannondki@lsu.edu,3/13/21,2,Bad
rwomack49@lsu.edu,avirr66@lsu.edu,8/10/21,1,Bad
atythacott4a@lsu.edu,dgoodenoughgs@lsu.edu,3/3/21,2,Bad
tevangelinos4b@lsu.edu,rscampm5@lsu.edu,2/4/22,5,Awesome
fleere4c@lsu.edu,kkiesselhe@lsu.edu,2/13/22,5,Awesome
kbouzek4d@lsu.edu,tkorting48@lsu.edu,7/16/21,1,Bad
tizzatt4e@lsu.edu,mbuesdennk@lsu.edu,2/19/22,5,Awesome
pslidders4f@lsu.edu,rcayton5r@lsu.edu,9/15/21,4,Awesome
pnetley4n@lsu.edu,selliker1v@ibm.com,7/17/21,2,Not Bad
anassau4p@lsu.edu,rstanwixm3@lsu.edu,11/11/21,4,Awesome
agoly4g@lsu.edu,ehaspineallfb@lsu.edu,2/23/22,5,Awesome
cthumann4h@lsu.edu,onewlindl@lsu.edu,12/4/21,1,Bad
rmcwhin4i@lsu.edu,gdeblaseer@lsu.edu,12/4/21,5,Awesome
gdowtry4j@lsu.edu,vcawr7@lsu.edu,2/21/22,1,Bad
tinch4k@lsu.edu,glibbie7q@lsu.edu,12/8/21,5,Awesome
jthwaite4l@lsu.edu,glibbie7q@lsu.edu,4/14/21,2,Not Bad
rmessham4m@lsu.edu,glibbie7q@lsu.edu,2/2/22,3,Not Bad
pnetley4n@lsu.edu,emillhill6q@lsu.edu,10/7/21,2,Not Bad
lbissill4o@lsu.edu,iciobotarujm@lsu.edu,4/19/21,5,Awesome
anassau4p@lsu.edu,mfairhamf0@lsu.edu,4/10/21,2,Not Bad
toseland4q@lsu.edu,gnorecb@lsu.edu,12/4/21,2,Not Bad
feeles4r@lsu.edu,rgoulbornegn@lsu.edu,10/16/21,5,Awesome
tbice4s@lsu.edu,bspencleyka@lsu.edu,8/16/21,3,Not Bad
hgoolden4t@lsu.edu,hleroy7s@lsu.edu,7/13/21,4,Awesome
myork4u@lsu.edu,dbrigstocko2@lsu.edu,6/15/21,1,Bad
ghankey4v@lsu.edu,nlarhamap@lsu.edu,5/26/21,5,Awesome
jcory4w@lsu.edu,mcrumlyfk@lsu.edu,2/25/22,2,Bad
etroy4x@lsu.edu,jcarvil9@economist.com,1/28/22,3,Not Bad
lundrill4y@lsu.edu,jcarvil9@economist.com,11/24/21,2,Not Bad
gmackall4z@lsu.edu,jboultwoodre@lsu.edu,5/29/21,5,Awesome
myacob50@lsu.edu,jcory4w@lsu.edu,9/29/21,1,Bad
ajeffs51@lsu.edu,pkirklandrq@lsu.edu,8/1/21,1,Bad
olief52@lsu.edu,rkorneichikbg@lsu.edu,3/9/21,4,Awesome
ddimeo53@lsu.edu,aforsythay@lsu.edu,8/10/21,5,Awesome
mgeorgi5b@lsu.edu,kperle7k@lsu.edu,11/18/21,4,Awesome
dclearie54@lsu.edu,cpaulone4@lsu.edu,1/7/22,2,Not Bad
mriddler55@lsu.edu,solooneybx@lsu.edu,9/30/21,3,Not Bad
cklyner56@lsu.edu,tdairtonp8@lsu.edu,1/5/22,3,Not Bad
zmegroff57@lsu.edu,feeles4r@lsu.edu,4/1/21,2,Not Bad
cjaquiss58@lsu.edu,bmaclaverty2v@lsu.edu,7/17/21,2,Not Bad
garmer59@lsu.edu,lstuddeard7r@lsu.edu,3/13/21,4,Awesome
scribbin5a@lsu.edu,rburtwistler8@lsu.edu,5/4/21,1,Bad
dclearie54@lsu.edu,cmabbsdt@lsu.edu,10/20/21,5,Awesome
ajeffs51@lsu.edu,fdeans6l@lsu.edu,1/2/22,1,Bad
mgeorgi5b@lsu.edu,bmalbonee@lsu.edu,5/13/21,2,Not Bad
kgedney5c@lsu.edu,dbraffington7n@lsu.edu,5/3/21,3,Not Bad
jponting5d@lsu.edu,cgabeyeb@lsu.edu,7/9/21,2,Bad
mriddler55@lsu.edu,dlawteye2@lsu.edu,2/24/22,3,Not Bad
garmer59@lsu.edu,mickowics63@lsu.edu,3/31/21,1,Bad
meddington5e@lsu.edu,qricardoufm@lsu.edu,5/31/21,2,Not Bad
landrysek5f@lsu.edu,ogajownikly@lsu.edu,2/8/22,1,Bad
dclearie54@lsu.edu,oreppaportr0@lsu.edu,11/5/21,5,Awesome
mreeves46@lsu.edu,ccaldeiropf@lsu.edu,11/9/21,3,Not Bad
rkorneev47@lsu.edu,kmusslewhitedp@lsu.edu,12/6/21,2,Not Bad
tkorting48@lsu.edu,dparlettkw@lsu.edu,10/3/21,5,Awesome
rwomack49@lsu.edu,msprackling43@lsu.edu,11/11/21,1,Bad
atythacott4a@lsu.edu,tandino92@lsu.edu,7/15/21,2,Bad
tevangelinos4b@lsu.edu,jwooderson5q@lsu.edu,9/15/21,3,Not Bad
fleere4c@lsu.edu,jgarrood8v@lsu.edu,11/24/21,2,Not Bad
kbouzek4d@lsu.edu,fstodartdu@lsu.edu,5/17/21,3,Not Bad
tizzatt4e@lsu.edu,gescalanteg4@lsu.edu,2/26/22,2,Not Bad
pslidders4f@lsu.edu,gmackall4z@lsu.edu,3/25/21,4,Awesome
pnetley4n@lsu.edu,gmackall4z@lsu.edu,10/19/21,2,Not Bad
anassau4p@lsu.edu,fthunder1p@webs.com,11/11/21,3,Not Bad
agoly4g@lsu.edu,fjacquemypl@lsu.edu,3/25/21,1,Bad
cthumann4h@lsu.edu,edionisiih1@lsu.edu,7/27/21,2,Bad
rmcwhin4i@lsu.edu,lcootesj9@lsu.edu,3/13/21,3,Not Bad
gdowtry4j@lsu.edu,mashling8s@lsu.edu,12/12/21,5,Awesome
tinch4k@lsu.edu,ccolteneh@lsu.edu,1/10/22,2,Not Bad
jthwaite4l@lsu.edu,bparkenl7@lsu.edu,5/16/21,3,Not Bad
rmessham4m@lsu.edu,itompkinson28@pcworld.com,4/7/21,1,Bad
pnetley4n@lsu.edu,lcuffehv@lsu.edu,9/1/21,3,Not Bad
lbissill4o@lsu.edu,vrissonh@lsu.edu,6/11/21,2,Not Bad
anassau4p@lsu.edu,dabelson7x@lsu.edu,1/5/22,2,Not Bad
toseland4q@lsu.edu,jberntjd@lsu.edu,6/30/21,1,Bad
feeles4r@lsu.edu,ituppm2@lsu.edu,2/27/22,3,Not Bad
tbice4s@lsu.edu,vconquest69@lsu.edu,4/28/21,4,Awesome
hgoolden4t@lsu.edu,ebullardig@lsu.edu,3/6/21,2,Not Bad
myork4u@lsu.edu,dgurge15@jimdo.com,5/31/21,5,Awesome
ghankey4v@lsu.edu,belfordb@yahoo.co.jp,10/27/21,1,Bad
jcory4w@lsu.edu,eorrick96@lsu.edu,12/7/21,3,Not Bad
etroy4x@lsu.edu,psarfat78@lsu.edu,7/7/21,1,Bad
lundrill4y@lsu.edu,rwomack49@lsu.edu,12/4/21,2,Bad
gmackall4z@lsu.edu,eovenden5y@lsu.edu,11/19/21,5,Awesome
myacob50@lsu.edu,whasnney2b@biblegateway.com,10/18/21,3,Not Bad
ajeffs51@lsu.edu,mromayniq@lsu.edu,9/10/21,2,Bad
olief52@lsu.edu,mromayniq@lsu.edu,8/20/21,5,Awesome
ddimeo53@lsu.edu,mromayniq@lsu.edu,6/8/21,3,Not Bad
mgeorgi5b@lsu.edu,fcapronqr@lsu.edu,12/13/21,2,Not Bad
dclearie54@lsu.edu,lmcmanusmc@lsu.edu,11/16/21,1,Bad
mriddler55@lsu.edu,lthornberbk@lsu.edu,8/11/21,3,Not Bad
cklyner56@lsu.edu,pstartehp@lsu.edu,8/1/21,4,Awesome
zmegroff57@lsu.edu,gechalieh4@lsu.edu,11/22/21,2,Not Bad
cjaquiss58@lsu.edu,eswanbourneq0@lsu.edu,11/22/21,3,Not Bad
garmer59@lsu.edu,shaydones@lsu.edu,11/1/21,3,Not Bad
scribbin5a@lsu.edu,lcicchinellib5@lsu.edu,5/10/21,2,Bad
dclearie54@lsu.edu,jjewettjh@lsu.edu,3/16/21,3,Not Bad
ajeffs51@lsu.edu,rvanderhoeven9h@lsu.edu,5/19/21,2,Not Bad
mgeorgi5b@lsu.edu,tizzatt4e@lsu.edu,7/15/21,1,Bad
kgedney5c@lsu.edu,abartoszek16@reuters.com,11/22/21,2,Not Bad
jponting5d@lsu.edu,ctelezhking7@lsu.edu,7/11/21,3,Not Bad
mriddler55@lsu.edu,elyfecx@lsu.edu,5/20/21,5,Awesome
garmer59@lsu.edu,adebellis2@mit.edu,11/28/21,3,Not Bad
landrysek5f@lsu.edu,abithellon@lsu.edu,2/26/22,2,Not Bad
dclearie54@lsu.edu,cdiffley5w@lsu.edu,10/22/21,5,Awesome
mreeves46@lsu.edu,nscougallba@lsu.edu,9/4/21,3,Not Bad
rkorneev47@lsu.edu,naspcu@lsu.edu,1/29/22,3,Not Bad
tkorting48@lsu.edu,dairthno@lsu.edu,8/24/21,4,Not Bad
rwomack49@lsu.edu,jthwaite4l@lsu.edu,1/11/22,3,Not Bad
atythacott4a@lsu.edu,ebromagei6@lsu.edu,1/4/22,2,Not Bad
tevangelinos4b@lsu.edu,mtuxell5t@lsu.edu,7/2/21,3,Not Bad
fleere4c@lsu.edu,cjedrzejewskypo@lsu.edu,4/29/21,1,Bad
kbouzek4d@lsu.edu,hjehaes86@lsu.edu,7/6/21,2,Bad
tizzatt4e@lsu.edu,jkruszelnickik3@lsu.edu,3/31/21,5,Awesome
pslidders4f@lsu.edu,oflahiveif@lsu.edu,5/30/21,2,Bad
pnetley4n@lsu.edu,oflahiveif@lsu.edu,9/10/21,4,Awesome
anassau4p@lsu.edu,oflahiveif@lsu.edu,8/14/21,5,Awesome
agoly4g@lsu.edu,kbennike0@merriam-webster.com,10/17/21,1,Bad
cthumann4h@lsu.edu,ikneesha3v@lsu.edu,3/5/21,2,Bad
rmcwhin4i@lsu.edu,cdutnallr1@lsu.edu,12/15/21,4,Awesome
gdowtry4j@lsu.edu,hcapellee6@lsu.edu,5/22/21,2,Not Bad
tinch4k@lsu.edu,hreavellhk@lsu.edu,3/10/21,5,Awesome
jthwaite4l@lsu.edu,gdignall3j@lsu.edu,3/12/21,3,Not Bad
rmessham4m@lsu.edu,cpennettalf@lsu.edu,12/25/21,2,Bad
pnetley4n@lsu.edu,ahaskerjg@lsu.edu,9/4/21,1,Bad
lbissill4o@lsu.edu,cdullardbp@lsu.edu,3/1/22,3,Not Bad
anassau4p@lsu.edu,cfridpm@lsu.edu,12/15/21,3,Not Bad
toseland4q@lsu.edu,mamymo@lsu.edu,5/20/21,4,Not Bad
etroy4x@lsu.edu,strenamanhu@lsu.edu,4/5/21,5,Awesome
lundrill4y@lsu.edu,pbortolazziol@lsu.edu,5/20/21,2,Bad
gmackall4z@lsu.edu,zcornillibb@lsu.edu,10/26/21,1,Bad
myacob50@lsu.edu,gearngycp@lsu.edu,7/31/21,5,Awesome
ajeffs51@lsu.edu,tgettonei8@lsu.edu,2/26/22,1,Bad
olief52@lsu.edu,gpendry79@lsu.edu,11/27/21,4,Awesome
ddimeo53@lsu.edu,kwilcockesfx@lsu.edu,4/10/21,5,Awesome
mgeorgi5b@lsu.edu,kwilcockesfx@lsu.edu,5/1/21,4,Awesome
dclearie54@lsu.edu,slittledike1a@dyndns.org,3/31/21,5,Awesome
mriddler55@lsu.edu,tpollock7j@lsu.edu,5/24/21,2,Not Bad
cklyner56@lsu.edu,rdellenbroker6c@lsu.edu,1/14/22,5,Awesome
zmegroff57@lsu.edu,mbernasekrm@lsu.edu,12/24/21,3,Not Bad
cjaquiss58@lsu.edu,hbintonme@lsu.edu,3/15/21,5,Awesome
garmer59@lsu.edu,acazindy@lsu.edu,11/12/21,3,Not Bad
scribbin5a@lsu.edu,tlinebargerh@flickr.com,2/1/22,1,Bad
dclearie54@lsu.edu,tlinebargerh@flickr.com,9/7/21,1,Bad
ajeffs51@lsu.edu,tlinebargerh@flickr.com,5/26/21,5,Awesome
mgeorgi5b@lsu.edu,jtestro45@lsu.edu,1/17/22,1,Bad
kgedney5c@lsu.edu,ltortispi@lsu.edu,4/28/21,4,Awesome
jponting5d@lsu.edu,wfranzenct@lsu.edu,3/4/21,5,Awesome
mriddler55@lsu.edu,wfranzenct@lsu.edu,12/10/21,1,Bad
garmer59@lsu.edu,wfranzenct@lsu.edu,7/8/21,2,Not Bad
meddington5e@lsu.edu,ecortingq@lsu.edu,6/25/21,4,Awesome
landrysek5f@lsu.edu,ecortingq@lsu.edu,3/21/21,5,Awesome
dclearie54@lsu.edu,nrideoutmi@lsu.edu,2/16/22,5,Awesome
mreeves46@lsu.edu,nrideoutmi@lsu.edu,3/15/21,4,Awesome
