credit_card_num,card_type,expire_month,expire_year,security_code,Owner_email
5944-5002-2323-1984,Master ,1,2026,37,clucianip@lsu.edu
5781-2698-6778-7873,Master ,6,2031,666,mtupperiv@lsu.edu
5787-7260-5634-8492,Master ,10,2026,460,gfulmenr9@lsu.edu
5987-7991-6521-7604,Master ,9,2032,178,ldailyrh@lsu.edu
5886-5959-2355-6748,Master ,6,2027,794,plomaz41@lsu.edu
5480-9804-3857-3254,Master ,9,2025,300,jdesouza63@lsu.edu
5450-1619-3390-7032,Master ,3,2028,987,dpenton8m@lsu.edu
5522-0242-7179-6231,Master ,4,2023,274,dmcraeis@lsu.edu
5069-8998-9516-6760,Master ,10,2032,236,mnekrewse9@lsu.edu
5016-6142-4438-3463,Master ,11,2031,303,dreynard5t@lsu.edu
5222-6223-8582-9247,Master ,12,2025,873,delnaugh2c@lsu.edu
5274-5915-8825-3244,Master ,12,2025,893,tbrightey72@lsu.edu
5920-9208-9018-5936,Master ,10,2032,929,chatchery@lsu.edu
5736-9974-8069-8454,Master ,5,2025,892,ssherston10@lsu.edu
5876-3488-0317-7344,Master ,9,2031,901,bgeyton1r@lsu.edu
5727-6781-5863-9140,Master ,6,2023,861,awackett4i@lsu.edu
5295-4089-9921-8437,Master ,5,2030,228,bmulleary5z@lsu.edu
5892-2648-6033-3377,Master ,1,2029,813,nhargrove7s@lsu.edu
5129-7540-2678-1671,Master ,8,2025,901,adudderidgen5@lsu.edu
5698-9157-4717-6838,Master ,5,2031,536,bwalenta3x@lsu.edu
5317-2437-0552-1170,Master ,10,2032,87,sdicarli8m@lsu.edu
5547-2732-0491-5584,Master ,7,2023,484,swalletta2@lsu.edu
5415-6641-7108-6133,Master ,7,2026,571,lthackham2x@lsu.edu
5022-2234-1897-3813,Master ,10,2028,0,vizaac3w@lsu.edu
5182-7677-8647-9421,Master ,2,2029,854,jjiracekqy@lsu.edu
5269-4765-4348-9357,Master ,3,2032,752,cwingeatti4@lsu.edu
5938-0511-4937-9029,Master ,6,2030,885,pslidders4f@lsu.edu
5725-5331-1402-6680,Master ,7,2025,591,gechalieh4@lsu.edu
5173-0313-9091-6644,Master ,1,2024,854,chatchettelo@lsu.edu
5919-7030-6717-8380,Master ,7,2032,234,rgontiernv@lsu.edu
5452-0951-1182-9478,Master ,11,2028,789,gdruce2z@lsu.edu
5013-0164-6390-8852,Master ,2,2027,5,lsteptowaq@lsu.edu
5594-6474-9786-6536,Master ,9,2023,798,esarlebc@lsu.edu
5714-0283-3846-0250,Master ,1,2024,125,sloughtonkq@lsu.edu
5400-1860-9756-0380,Master ,11,2031,260,cshinnp3@lsu.edu
5578-5586-0593-1743,Master ,3,2029,391,mwhiskera4@lsu.edu
5290-7563-6226-1632,Master ,3,2028,641,vpeate3@lsu.edu
5441-3309-3387-8340,Master ,11,2025,465,gphorsbygd@lsu.edu
5036-6330-0656-6700,Master ,4,2027,678,cdemarcohd@lsu.edu
5375-7908-7186-2224,Master ,3,2024,694,rluckiehl@lsu.edu
5895-7235-2765-2771,Master ,7,2032,880,wbuschn6@lsu.edu
5974-5760-1797-3556,Master ,1,2029,60,mortsmannoi@lsu.edu
5760-6351-4371-7377,Master ,11,2025,330,wosmond5y@lsu.edu
5062-2237-4422-5462,Master ,1,2031,0,edigginson6q@lsu.edu
5844-1026-4543-7456,Master ,2,2031,758,llawrenceson72@lsu.edu
5677-5046-2259-9683,Master ,3,2029,664,rgurnera@lsu.edu
5483-6340-8453-6785,Master ,1,2026,848,cstrooband1i@lsu.edu
5872-8892-0970-3156,Master ,4,2026,157,kmayb9@lsu.edu
5759-5577-0040-8579,Master ,11,2024,430,ndeyeh2@lsu.edu
5041-4117-6498-6751,Master ,10,2025,720,ltomaszynski8x@lsu.edu
5692-2022-8894-8340,Master ,2,2031,917,mdumbellqm@lsu.edu
5452-5403-4421-6997,Master ,6,2031,856,enesbit1n@lsu.edu
5107-6075-9554-9762,Master ,2,2026,509,wdelongcw@lsu.edu
5785-8559-7420-7799,Master ,12,2025,930,baccumgg@lsu.edu
5600-0453-7864-9146,Master ,9,2031,936,bspencleyka@lsu.edu
5689-2153-1690-3243,Master ,3,2028,69,hcanero7v@lsu.edu
5390-2920-3319-9470,Master ,10,2028,561,cwintertoni8@lsu.edu
5865-9978-2504-2572,Master ,10,2029,777,strusslovekn@lsu.edu
5092-5414-2897-9510,Master ,8,2032,880,hpingstonelk@lsu.edu
5970-7946-9299-2360,Master ,7,2028,243,kperrelle58@lsu.edu
5784-0205-6914-0135,Master ,9,2032,795,pshillingford7v@lsu.edu
5269-4134-4350-2641,Master ,12,2031,639,hpetriello8f@lsu.edu
5472-6442-9517-5164,Master ,4,2027,312,tcoulman60@lsu.edu
5753-2868-9973-3791,Master ,4,2031,454,mbernasekrm@lsu.edu
5622-5948-7079-8810,Master ,2,2024,974,tduffet96@lsu.edu
5006-4206-2786-5436,Master ,9,2027,236,prolfinia2@lsu.edu
5098-5000-5879-6448,Master ,12,2030,179,mwattsen@lsu.edu
5082-8633-7582-0140,Master ,1,2032,36,sfearnsides6v@lsu.edu
5084-3098-0157-6510,Master ,3,2029,226,astriker7i@lsu.edu
5728-1936-0537-8366,Master ,7,2030,509,nmcgeachie8o@lsu.edu
5976-2690-3313-0129,Master ,9,2032,409,sgeratasch3x@lsu.edu
5409-0454-0132-9065,Master ,3,2025,263,tbice4s@lsu.edu
5488-9423-5251-4462,Master ,10,2025,66,lscrimshireae@lsu.edu
5362-2331-2132-3677,Master ,1,2029,771,aforsythay@lsu.edu
5183-2881-5855-2147,Master ,4,2029,634,adaybornei9@lsu.edu
5202-1418-4614-1725,Master ,6,2030,460,smaricin@lsu.edu
5187-5184-9973-3289,Master ,6,2023,787,eferandezks@lsu.edu
5228-8422-8009-6052,Master ,12,2031,120,mlammers4h@lsu.edu
5505-9901-0070-0494,Master ,1,2032,436,mwoodwingew@lsu.edu
5668-2554-3389-3639,Master ,6,2031,86,gmossdalegt@lsu.edu
5176-6311-5644-1880,Master ,3,2026,903,bknolesou@lsu.edu
5060-5340-5487-4125,Master ,1,2026,312,mdillimorepu@lsu.edu
5205-0411-2037-2724,Master ,12,2024,70,cexcell7k@lsu.edu
5657-2684-9975-8502,Master ,6,2026,684,ztakos8z@lsu.edu
5823-9133-2074-9150,Master ,10,2029,968,jcory4w@lsu.edu
5303-4080-0958-4058,Master ,6,2026,653,aromanettiju@lsu.edu
5836-2345-1358-0302,Master ,11,2031,119,dnorcockl8@lsu.edu
5930-2922-5851-5285,Master ,9,2030,896,aferencowicznt@lsu.edu
5331-6919-7716-6326,Master ,3,2027,845,hmarzelord@lsu.edu
5851-6214-0082-3330,Master ,3,2026,486,sdougillc7@lsu.edu
5753-2688-8710-1773,Master ,8,2027,736,cmertinch@lsu.edu
5879-6206-8936-7709,Master ,3,2024,474,kcripwellx@lsu.edu
5141-9080-4892-1478,Master ,12,2031,583,rshiel3a@lsu.edu
5502-0747-7113-8991,Master ,4,2024,834,hmell7q@lsu.edu
5771-8033-8802-7638,Master ,8,2028,677,vyakovliv9v@lsu.edu
5981-6612-6513-3538,Master ,4,2027,954,rpabloslc@lsu.edu
5412-6449-9913-3549,Master ,12,2025,494,dgorelli1n@lsu.edu
5202-1057-4814-5748,Master ,1,2026,309,hrusse2t@lsu.edu
5786-1847-1841-9486,Master ,11,2029,693,fdantesiamt@lsu.edu
5568-1809-7257-1098,Master ,2,2026,709,mpinnijarp1@lsu.edu
5750-6853-2715-8643,Master ,7,2029,992,bmolenpy@lsu.edu
5922-6911-9544-4056,Master ,7,2030,228,ctapp2@lsu.edu
5036-9150-2848-8932,Master ,4,2027,386,ldugood3f@lsu.edu
5744-3368-6978-9353,Master ,3,2031,891,nkimmings9i@lsu.edu
5422-0650-6212-8690,Master ,2,2030,378,cmcian9s@lsu.edu
5761-9650-5102-7524,Master ,2,2026,813,mkoeneau@lsu.edu
5876-5289-2113-8368,Master ,12,2024,5,htaylor74@lsu.edu
5459-6133-4410-8751,Master ,1,2031,544,lcicchinellib5@lsu.edu
5546-0139-0202-3697,Master ,2,2029,623,ejakoviljevic47@lsu.edu
5871-6093-0478-3479,Master ,7,2024,305,bclaussen5c@lsu.edu
5491-8070-1416-1363,Master ,6,2024,175,msemper81@lsu.edu
5053-7898-9968-6902,Master ,3,2029,670,hprattefv@lsu.edu
5063-9380-6021-0054,Master ,1,2026,908,brapport8y@lsu.edu
5895-3514-8962-3042,Master ,10,2031,192,bsimonsbi@lsu.edu
5879-1690-1766-9773,Master ,5,2031,367,dgoodbarrq@lsu.edu
5434-6636-5502-9171,Master ,4,2030,578,jlevecl@lsu.edu
5671-7997-9198-9869,Master ,11,2026,297,jferreamr@lsu.edu
5534-3935-0311-4779,Master ,6,2025,209,mkittero3@lsu.edu
5090-6349-7798-9270,Master ,12,2030,174,psarfat78@lsu.edu
5693-1521-0405-3765,Master ,8,2028,381,lcrebbingm@lsu.edu
5450-5528-8309-7261,Master ,12,2026,278,jbirtley45@lsu.edu
5362-3991-9607-1841,Master ,7,2028,82,mmaywardbb@lsu.edu
5181-6623-7452-0306,Master ,1,2023,212,edumberellfd@lsu.edu
5959-9544-0718-0078,Master ,8,2027,512,rrobuchonhr@lsu.edu
5660-4887-6753-7383,Master ,8,2028,169,pmcchruiterlg@lsu.edu
5475-1459-1476-9447,Master ,1,2026,971,fcapronqr@lsu.edu
5884-2749-0639-2860,Master ,1,2029,174,smcavaddy1l@lsu.edu
5769-2640-1287-1217,Master ,8,2026,914,vnottingham33@lsu.edu
5116-2282-4189-0770,Master ,10,2032,62,wayrs5d@lsu.edu
5586-0787-2354-4139,Master ,3,2025,201,ebeddinggc@lsu.edu
5315-3333-8750-6160,Master ,2,2026,659,rblankoig@lsu.edu
5742-1349-9618-2203,Master ,12,2024,53,nclutramn3@lsu.edu
5891-6900-8618-0678,Master ,5,2027,540,mblaisepa@lsu.edu
5370-2464-2917-6789,Master ,12,2024,420,nlawb2@lsu.edu
5755-1503-3991-9427,Master ,5,2025,333,drubyq3@lsu.edu
5389-3664-4997-3250,Master ,11,2024,200,tdougher1o@lsu.edu
5303-1974-6277-4505,Master ,2,2024,758,tpolinijo@lsu.edu
5522-3706-9914-6608,Master ,4,2027,657,ecarlyonkd@lsu.edu
5592-7367-5725-8158,Master ,4,2031,182,bgarrawaym6@lsu.edu
5026-0440-2397-6147,Master ,5,2024,623,jsnowballpc@lsu.edu
5222-4250-8339-6275,Master ,9,2028,436,clutsch5u@lsu.edu
5376-3231-5248-8994,Master ,6,2029,309,dfeige2f@lsu.edu
5784-3711-7195-7838,Master ,7,2032,258,wucceli3y@lsu.edu
5861-7288-1321-1266,Master ,4,2024,614,gnorley6r@lsu.edu
5782-7472-7883-3242,Master ,2,2026,628,pwareingf9@lsu.edu
5440-2579-3645-7045,Master ,2,2026,268,jketchn4@lsu.edu
5658-3726-1466-6912,Master ,1,2032,636,sodriscolln5@lsu.edu
5160-0442-2912-3063,Master ,3,2030,611,dwimmersq4@lsu.edu
5261-6461-6627-9650,Master ,9,2024,183,cgrigoriscu6m@lsu.edu
5630-1050-9041-9568,Master ,1,2024,508,vspraggscg@lsu.edu
5072-2444-6584-8739,Master ,3,2031,14,aclorley95@lsu.edu
5092-4939-7407-9569,Master ,6,2031,323,jgarrood8v@lsu.edu
5025-2265-8737-3936,Master ,2,2031,289,swonterql@lsu.edu
5696-0157-6350-4100,Master ,10,2023,180,mdrysdaleb@lsu.edu
5245-0583-2501-9251,Master ,3,2032,539,ecomollipo@lsu.edu
5391-9632-2607-3743,Master ,6,2030,874,fmackeanqh@lsu.edu
5283-6619-5729-4928,Master ,8,2025,160,ecatford2c@lsu.edu
5649-8360-7815-9568,Master ,2,2026,221,kboot8h@lsu.edu
5043-2568-7615-8801,Master ,7,2025,690,mbabonau82@lsu.edu
5888-5011-7049-7973,Master ,7,2030,262,jgrelakcj@lsu.edu
5988-5577-6217-9461,Master ,2,2025,478,lmcmanusmc@lsu.edu
5684-1179-6776-5333,Master ,3,2026,42,garnaez5e@lsu.edu
5197-1369-6536-4145,Master ,7,2032,269,amortimer7z@lsu.edu
5527-4509-4814-4302,Master ,1,2030,465,vbarkedq@lsu.edu
5301-0241-8476-6765,Master ,7,2031,802,rfinnie7m@lsu.edu
5419-1817-2391-6696,Master ,3,2024,336,iblest99@lsu.edu
5236-7234-1098-6102,Master ,11,2026,405,sdavid1y@lsu.edu
5803-1958-6173-5965,Master ,12,2028,863,gkubesbn@lsu.edu
5732-0538-9768-3371,Master ,11,2023,373,rwhickmanc8@lsu.edu
5662-5035-3599-5226,Master ,3,2023,618,mkringe12@lsu.edu
5118-1571-9543-0496,Master ,9,2029,928,bcorradino2c@lsu.edu
5730-7962-8076-1377,Master ,10,2025,332,lcully3l@lsu.edu
5283-3654-5285-6996,Master ,8,2029,755,vgemelli4e@lsu.edu
5683-9449-1336-7316,Master ,4,2023,304,spurkissaf@lsu.edu
5738-2502-5387-8233,Master ,9,2025,166,lcutting5@lsu.edu
5754-3999-3324-8924,Master ,3,2026,505,abloschkegl@lsu.edu
5621-4024-4742-6645,Master ,9,2031,758,hlipyeatjn@lsu.edu
5432-3976-3365-3080,Master ,11,2028,444,ecortingq@lsu.edu
5534-1958-8986-0016,Master ,1,2026,806,spinwillhg@lsu.edu
5391-3453-5853-6301,Master ,1,2025,315,acastelliji@lsu.edu
5962-8592-1523-8353,Master ,11,2024,48,rswanbournemn@lsu.edu
5600-3898-5439-4319,Master ,4,2024,557,lmapis1x@lsu.edu
5309-0984-3607-8587,Master ,1,2023,402,ttorril2@lsu.edu
5795-0230-9493-9225,Master ,11,2030,484,redie1s@lsu.edu
5108-7875-3268-0751,Master ,12,2032,582,mgitsham4k@lsu.edu
5996-2826-6080-9669,Master ,3,2031,43,gwerendellez@lsu.edu
5651-9681-9086-5749,Master ,10,2024,998,dpeyntueqp@lsu.edu
5682-7175-9013-7199,Master ,9,2024,797,jmclellan9@lsu.edu
5889-4992-2238-6009,Master ,9,2030,190,gheritya3@lsu.edu
5593-0436-6653-3815,Master ,7,2031,471,smenlowjx@lsu.edu
5307-4342-7758-4207,Master ,4,2031,992,bqueenni@lsu.edu
5136-7806-2151-6616,Master ,9,2028,778,uwoganqn@lsu.edu
5681-0532-8667-0415,Master ,5,2032,137,rdeniseau93@lsu.edu
5170-2853-1915-0309,Master ,7,2025,398,gbalas91@lsu.edu
5265-6122-1688-7274,Master ,3,2030,75,fmcaviyjz@lsu.edu
5213-3671-7908-4995,Master ,5,2030,530,gfforde16@lsu.edu
5401-5644-7051-8572,Master ,10,2024,621,ceskrick3h@lsu.edu
5836-2473-7632-9223,Master ,11,2023,912,dmcgeachie7y@lsu.edu
5348-9371-6744-4382,Master ,11,2025,250,vcrix93@lsu.edu
5863-2708-0507-8826,Master ,11,2027,497,wcrannaau@lsu.edu
5604-1329-7823-9251,Master ,12,2031,536,gghidellijb@lsu.edu
5631-5237-1067-8533,Master ,1,2025,106,pmacrinnkt@lsu.edu
5401-8381-0958-4734,Master ,3,2026,651,mcapron7d@lsu.edu
5157-3876-7485-5715,Master ,5,2025,858,ebradderlw@lsu.edu
5468-9691-3087-0465,Master ,5,2030,54,ohardsonn3@lsu.edu
5837-4398-5214-9925,Master ,7,2026,144,tdykesd@lsu.edu
5216-2077-8746-9859,Master ,2,2029,435,npuckette@lsu.edu
5922-5684-7676-0270,Master ,12,2025,717,kmoncreifff2@lsu.edu
5573-7024-9740-7338,Master ,3,2027,769,bschoffelh5@lsu.edu
5145-1354-0485-7881,Master ,7,2024,693,mswalwel9b@lsu.edu
5734-6509-5782-8189,Master ,10,2032,360,daburrowbn@lsu.edu
5690-7006-0683-5142,Master ,1,2026,621,gallwarddm@lsu.edu
5699-7733-3781-7532,Master ,11,2027,430,abockeec@lsu.edu
5101-1896-4411-7191,Master ,6,2024,938,rbastonemx@lsu.edu
5300-9499-7341-4990,Master ,11,2027,609,rraweso7@lsu.edu
5190-4083-1474-9818,Master ,5,2024,581,sbarwello9@lsu.edu
5120-7739-8916-5354,Master ,11,2032,772,egaffeym@lsu.edu
5191-3956-5697-5882,Master ,4,2029,576,tallewell9x@lsu.edu
5116-3933-3498-2491,Master ,10,2029,78,zschoenrockb3@lsu.edu
5934-2567-5918-6879,Master ,1,2032,12,hivakhin9i@lsu.edu
5206-2047-4571-5985,Master ,5,2024,317,phew2q@lsu.edu
5404-6111-1368-5207,Master ,1,2032,297,rdevaan2s@lsu.edu
5718-9617-8372-6423,Master ,2,2024,518,focoskerry8s@lsu.edu
5649-1868-1009-4300,Master ,11,2023,500,slarrawaybn@lsu.edu
5383-6695-8988-8847,Master ,7,2025,306,rlevicountdl@lsu.edu
5226-4832-9413-5669,Master ,7,2032,124,gbuncomke@lsu.edu
5155-4382-9153-0797,Master ,4,2030,732,csamudiolc@lsu.edu
5158-5910-5859-5559,Master ,11,2027,84,jnorquay39@lsu.edu
5172-0507-6162-3965,Master ,12,2031,662,cevans4t@lsu.edu
5615-7160-7064-8857,Master ,4,2023,964,dbussy7p@lsu.edu
5422-2699-1673-6468,Master ,1,2025,656,ogoulborn88@lsu.edu
5958-4808-4865-2658,Master ,8,2032,997,etolchardeap@lsu.edu
5149-7434-6083-5861,Master ,2,2023,243,kfeeney30@lsu.edu
5147-3973-0915-8280,Master ,8,2030,328,gambrosch35@lsu.edu
5214-8949-4570-8347,Master ,9,2024,243,hjedras68@lsu.edu
5194-2745-5278-7086,Master ,11,2031,548,ghandsoy@lsu.edu
5909-1858-9734-6323,Master ,10,2029,28,mharbord54@lsu.edu
5749-8354-2515-9881,Master ,11,2030,400,rludlamme5o@lsu.edu
5663-0294-4720-4969,Master ,7,2028,273,fpulley6i@lsu.edu
5022-1229-1408-1751,Master ,5,2024,666,hbarghbl@lsu.edu
5028-0633-1176-7788,Master ,4,2024,950,rmcallanhq@lsu.edu
5410-3935-7294-6612,Master ,9,2031,570,lphelanii@lsu.edu
5064-0251-3258-9056,Master ,4,2030,91,aaristidejc@lsu.edu
5254-5783-3128-8839,Master ,11,2030,295,tbleazardjy@lsu.edu
5680-5654-2970-2305,Master ,3,2026,741,wbowlesmf@lsu.edu
5475-2327-7366-3151,Master ,11,2024,629,agatus22@lsu.edu
5529-1346-3352-2781,Master ,1,2027,176,mwalkey4v@lsu.edu
5564-4790-4456-3432,Master ,10,2031,949,dmetson15@lsu.edu
5656-3396-4040-1230,Master ,12,2027,215,gbealar@lsu.edu
5449-6640-2935-6623,Master ,10,2028,455,rmacgilmartinat@lsu.edu
5322-3635-3947-4231,Master ,3,2026,600,lbuttrickpr@lsu.edu
5151-8781-7567-1630,Master ,8,2025,413,lbrockherst6r@lsu.edu
5789-7282-9369-3967,Master ,5,2026,484,jpartnerct@lsu.edu
5686-7575-1892-8140,Master ,9,2026,890,dvasyushkhinea@lsu.edu
5937-0771-6207-5566,Master ,8,2025,46,wlittlewoodom@lsu.edu
5766-4558-7759-6499,Master ,6,2031,359,zclemoes1m@lsu.edu
5856-4789-3905-4253,Master ,12,2029,946,lcrockford4q@lsu.edu
5353-8083-5229-3155,Master ,3,2029,160,rpikesley7h@lsu.edu
5286-2042-5188-6796,Master ,2,2023,806,amoizer8w@lsu.edu
5701-9429-0104-9347,Master ,4,2023,317,jwooderson5q@lsu.edu
5972-7028-3404-7682,Master ,9,2030,30,amoggan70@lsu.edu
5737-7740-1360-9104,Master ,12,2031,620,mfairhamf0@lsu.edu
5496-4547-8073-8439,Master ,9,2028,853,iciobotarujm@lsu.edu
5509-5920-8902-5979,Master ,9,2026,604,ssextonekt@lsu.edu
5072-7413-0137-7584,Master ,2,2027,797,lfennak@lsu.edu
5354-5613-4695-4923,Master ,6,2029,690,msawday22@lsu.edu
5690-9876-7915-7259,Master ,1,2024,335,lnoden2p@lsu.edu
5116-6758-1394-7970,Master ,11,2028,481,mmckinstry4v@lsu.edu
5801-7946-1030-4211,Master ,9,2031,604,hyurocjhinbk@lsu.edu
5166-9155-3342-9962,Master ,8,2030,913,lmcgaughayrq@lsu.edu
5808-6393-5968-2628,Master ,11,2032,474,aendon1o@lsu.edu
5481-9556-2716-7110,Master ,3,2027,490,womara8l@lsu.edu
5698-1346-4026-7492,Master ,12,2026,530,ktristramak@lsu.edu
5430-5999-4117-2006,Master ,7,2027,24,mkittley1c@lsu.edu
5841-1354-4331-5731,Master ,2,2024,920,syerbury8y@lsu.edu
5479-1421-2093-9935,Master ,3,2024,535,khaglintona1@lsu.edu
5591-7334-0084-5563,Master ,7,2029,255,amuatcx@lsu.edu
5055-2100-2998-8724,Master ,2,2032,714,dtelegaib@lsu.edu
5738-8602-4511-8889,Master ,3,2027,768,hhardesty5@lsu.edu
5123-0799-8632-2106,Master ,11,2027,98,olouis1t@lsu.edu
5317-6329-2165-1101,Master ,6,2030,383,thaggardar@lsu.edu
5156-1048-0497-0023,Master ,3,2029,615,nfazackerley2a@lsu.edu
5394-8881-8983-9112,Master ,5,2023,12,sfurmston2k@lsu.edu
5633-2150-8766-7452,Master ,10,2030,700,jthwaite4l@lsu.edu
5322-0460-2404-7959,Master ,7,2023,841,bollerhead6v@lsu.edu
5810-6478-6170-3678,Master ,4,2025,57,eangelod3@lsu.edu
5731-8159-3685-0935,Master ,9,2024,426,chazeldeankg@lsu.edu
5048-2381-9674-9663,Master ,3,2023,214,ssorleyn9@lsu.edu
5698-5864-3412-8446,Master ,3,2028,544,tplaisterny@lsu.edu
5301-4927-7244-0386,Master ,7,2031,593,lchatin6y@lsu.edu
5480-5957-6758-3188,Master ,1,2031,82,ikennerknechtce@lsu.edu
5962-8649-7085-3159,Master ,9,2032,232,plucianohn@lsu.edu
5097-2686-8804-4784,Master ,8,2027,803,skarliklp@lsu.edu
5257-5743-2775-5621,Master ,7,2023,48,ctreskemw@lsu.edu
5004-4193-3331-1540,Master ,10,2032,731,vladbury5b@lsu.edu
5321-6110-1174-1248,Master ,5,2030,563,lfiggera6@lsu.edu
5485-6157-4951-5044,Master ,11,2029,836,jkittel3d@lsu.edu
5241-0654-7374-6276,Master ,7,2030,531,crizzillo6g@lsu.edu
5473-6227-1324-9288,Master ,8,2023,168,twhiteareq@lsu.edu
5023-4056-6146-8111,Master ,3,2027,507,divantsovgz@lsu.edu
5118-5035-9128-5656,Master ,1,2023,887,ameganyhn@lsu.edu
5408-4744-0327-0928,Master ,10,2024,738,ielecumku@lsu.edu
5619-5684-8720-9591,Master ,3,2028,48,awardernz@lsu.edu
5358-1565-1238-6422,Master ,11,2028,125,abeedomo8@lsu.edu
5324-1280-1515-9921,Master ,5,2027,677,agomer8h@lsu.edu
5330-7861-7870-3840,Master ,12,2023,972,egullyhv@lsu.edu
5617-3600-1069-7281,Master ,9,2028,542,gbunyanoj@lsu.edu
5262-7313-8085-0001,Master ,3,2031,885,hcrusq6@lsu.edu
5289-9111-5764-0151,Master ,10,2030,788,fdickmanr5@lsu.edu
5975-0510-9652-4472,Master ,2,2029,970,kstellman3d@lsu.edu
5355-6380-2991-0387,Master ,1,2032,115,dsandham5p@lsu.edu
5910-5064-2681-2855,Master ,5,2025,463,bmaclaverty2v@lsu.edu
5864-9478-3535-5328,Master ,11,2030,233,ksnoddy38@lsu.edu
5089-5745-5128-4095,Master ,2,2029,26,wspadelli8j@lsu.edu
